,ORI,YEAR,MRD,CLR,State,County,Agency
45,AK00101,2010,13,10,Alaska,"Anchorage, AK",Anchorage
46,AK00101,2011,12,13,Alaska,"Anchorage, AK",Anchorage
47,AK00101,2012,15,12,Alaska,"Anchorage, AK",Anchorage
48,AK00101,2013,14,12,Alaska,"Anchorage, AK",Anchorage
49,AK00101,2014,12,9,Alaska,"Anchorage, AK",Anchorage
50,AK00101,2015,26,21,Alaska,"Anchorage, AK",Anchorage
51,AK00101,2016,28,20,Alaska,"Anchorage, AK",Anchorage
52,AK00101,2017,27,28,Alaska,"Anchorage, AK",Anchorage
53,AK00101,2018,26,14,Alaska,"Anchorage, AK",Anchorage
54,AK00101,2019,32,21,Alaska,"Anchorage, AK",Anchorage
92,AK00102,2011,2,2,Alaska,"Fairbanks North Star, AK",Fairbanks
93,AK00102,2012,3,3,Alaska,"Fairbanks North Star, AK",Fairbanks
94,AK00102,2014,4,4,Alaska,"Fairbanks North Star, AK",Fairbanks
95,AK00102,2015,1,1,Alaska,"Fairbanks North Star, AK",Fairbanks
96,AK00102,2016,7,2,Alaska,"Fairbanks North Star, AK",Fairbanks
97,AK00102,2017,10,6,Alaska,"Fairbanks North Star, AK",Fairbanks
98,AK00102,2018,4,8,Alaska,"Fairbanks North Star, AK",Fairbanks
99,AK00102,2019,3,2,Alaska,"Fairbanks North Star, AK",Fairbanks
114,AK00103,2010,1,1,Alaska,"Juneau, AK",Juneau
115,AK00103,2014,1,0,Alaska,"Juneau, AK",Juneau
116,AK00103,2015,4,2,Alaska,"Juneau, AK",Juneau
117,AK00103,2016,0,1,Alaska,"Juneau, AK",Juneau
118,AK00103,2017,1,3,Alaska,"Juneau, AK",Juneau
119,AK00103,2018,1,1,Alaska,"Juneau, AK",Juneau
120,AK00103,2019,3,2,Alaska,"Juneau, AK",Juneau
139,AK00104,2015,1,1,Alaska,"Ketchikan Gateway, AK",Ketchikan
140,AK00104,2017,1,1,Alaska,"Ketchikan Gateway, AK",Ketchikan
141,AK00104,2018,1,1,Alaska,"Ketchikan Gateway, AK",Ketchikan
153,AK00105,2010,0,1,Alaska,"Kodiak Island, AK",Kodiak
154,AK00105,2016,1,1,Alaska,"Kodiak Island, AK",Kodiak
167,AK00106,2011,1,1,Alaska,"Nome, AK",Nome
180,AK00109,2017,1,1,Alaska,"Sitka, AK",Sitka
210,AK00113,2010,2,2,Alaska,"Bethel, AK",Bethel
211,AK00113,2011,1,0,Alaska,"Bethel, AK",Bethel
212,AK00113,2012,1,1,Alaska,"Bethel, AK",Bethel
213,AK00113,2015,2,2,Alaska,"Bethel, AK",Bethel
214,AK00113,2017,1,1,Alaska,"Bethel, AK",Bethel
215,AK00113,2019,1,1,Alaska,"Bethel, AK",Bethel
223,AK00116,2011,1,1,Alaska,"Northwest Arctic, AK",Kotzebue
224,AK00116,2016,1,1,Alaska,"Northwest Arctic, AK",Kotzebue
225,AK00116,2018,1,1,Alaska,"Northwest Arctic, AK",Kotzebue
228,AK00117,2017,1,1,Alaska,"Matanuska-Susitna, AK",Palmer
229,AK00117,2019,1,1,Alaska,"Matanuska-Susitna, AK",Palmer
243,AK00118,2012,1,1,Alaska,"North Slope, AK",North Slope Borough
244,AK00118,2014,1,1,Alaska,"North Slope, AK",North Slope Borough
245,AK00118,2017,2,0,Alaska,"North Slope, AK",North Slope Borough
246,AK00118,2018,1,1,Alaska,"North Slope, AK",North Slope Borough
247,AK00118,2019,2,1,Alaska,"North Slope, AK",North Slope Borough
256,AK00122,2016,0,1,Alaska,"Kenai Peninsula, AK",Homer
265,AK00123,2015,3,3,Alaska,"Kenai Peninsula, AK",Kenai
266,AK00123,2018,1,1,Alaska,"Kenai Peninsula, AK",Kenai
267,AK00123,2019,2,2,Alaska,"Kenai Peninsula, AK",Kenai
271,AK00125,2012,1,0,Alaska,"Prince of Wales-Outer Ketchikan, AK",Metlakatla Tribal
282,AK00130,2019,1,1,Alaska,"Dillingham, AK",Dillingham
284,AK00133,2012,1,1,Alaska,"Aleutians West, AK",Unalaska
285,AK00133,2014,1,1,Alaska,"Aleutians West, AK",Unalaska
291,AK00146,2013,1,1,Alaska,"Bristol Bay, AK",Bristol Bay Borough
303,AK00156,2011,1,1,Alaska,"Matanuska-Susitna, AK",Wasilla
304,AK00156,2013,1,1,Alaska,"Matanuska-Susitna, AK",Wasilla
305,AK00156,2014,1,1,Alaska,"Matanuska-Susitna, AK",Wasilla
306,AK00156,2019,1,1,Alaska,"Matanuska-Susitna, AK",Wasilla
352,AKASP00,2010,15,12,Alaska,"Juneau, AK",State Troopers
353,AKASP00,2011,12,11,Alaska,"Juneau, AK",State Troopers
354,AKASP00,2012,8,6,Alaska,"Juneau, AK",State Troopers
355,AKASP00,2013,18,16,Alaska,"Juneau, AK",State Troopers
356,AKAST01,2014,21,14,Alaska,"Anchorage, AK",Alaska State Troopers
357,AKAST01,2015,22,15,Alaska,"Anchorage, AK",Alaska State Troopers
358,AKAST01,2016,15,16,Alaska,"Anchorage, AK",Alaska State Troopers
359,AKAST01,2017,18,14,Alaska,"Anchorage, AK",Alaska State Troopers
360,AKAST01,2018,12,9,Alaska,"Anchorage, AK",Alaska State Troopers
361,AKAST01,2019,23,19,Alaska,"Anchorage, AK",Alaska State Troopers
407,AL00100,2010,5,0,Alabama,"Jefferson, AL",Jefferson County
408,AL00100,2011,9,7,Alabama,"Jefferson, AL",Jefferson County
409,AL00100,2012,4,3,Alabama,"Jefferson, AL",Jefferson County
410,AL00100,2013,5,4,Alabama,"Jefferson, AL",Jefferson County
411,AL00100,2014,10,5,Alabama,"Jefferson, AL",Jefferson County
412,AL00100,2015,10,5,Alabama,"Jefferson, AL",Jefferson County
413,AL00100,2016,5,2,Alabama,"Jefferson, AL",Jefferson County
414,AL00100,2017,5,2,Alabama,"Jefferson, AL",Jefferson County
415,AL00100,2018,10,4,Alabama,"Jefferson, AL",Jefferson County
457,AL00101,2010,5,2,Alabama,"Jefferson, AL",Bessemer
458,AL00101,2011,10,8,Alabama,"Jefferson, AL",Bessemer
459,AL00101,2012,4,1,Alabama,"Jefferson, AL",Bessemer
460,AL00101,2013,3,1,Alabama,"Jefferson, AL",Bessemer
461,AL00101,2014,2,0,Alabama,"Jefferson, AL",Bessemer
462,AL00101,2015,7,1,Alabama,"Jefferson, AL",Bessemer
463,AL00101,2016,3,0,Alabama,"Jefferson, AL",Bessemer
464,AL00101,2017,10,1,Alabama,"Jefferson, AL",Bessemer
465,AL00101,2018,6,0,Alabama,"Jefferson, AL",Bessemer
466,AL00101,2019,5,0,Alabama,"Jefferson, AL",Bessemer
512,AL00102,2010,20,0,Alabama,"Jefferson, AL",Birmingham
513,AL00102,2011,54,0,Alabama,"Jefferson, AL",Birmingham
514,AL00102,2012,67,0,Alabama,"Jefferson, AL",Birmingham
515,AL00102,2013,63,41,Alabama,"Jefferson, AL",Birmingham
516,AL00102,2014,52,37,Alabama,"Jefferson, AL",Birmingham
517,AL00102,2015,79,44,Alabama,"Jefferson, AL",Birmingham
518,AL00102,2016,78,50,Alabama,"Jefferson, AL",Birmingham
519,AL00102,2017,59,15,Alabama,"Jefferson, AL",Birmingham
520,AL00102,2018,88,29,Alabama,"Jefferson, AL",Birmingham
529,AL00103,2013,1,1,Alabama,"Jefferson, AL",Mountain Brook
530,AL00103,2016,1,1,Alabama,"Jefferson, AL",Mountain Brook
564,AL00104,2010,4,3,Alabama,"Jefferson, AL",Fairfield
565,AL00104,2011,4,3,Alabama,"Jefferson, AL",Fairfield
566,AL00104,2012,2,1,Alabama,"Jefferson, AL",Fairfield
567,AL00104,2013,4,2,Alabama,"Jefferson, AL",Fairfield
568,AL00104,2014,3,1,Alabama,"Jefferson, AL",Fairfield
569,AL00104,2016,4,1,Alabama,"Jefferson, AL",Fairfield
570,AL00104,2017,8,5,Alabama,"Jefferson, AL",Fairfield
571,AL00104,2018,8,5,Alabama,"Jefferson, AL",Fairfield
572,AL00104,2019,3,0,Alabama,"Jefferson, AL",Fairfield
581,AL00105,2010,2,2,Alabama,"Jefferson, AL",Gardendale
582,AL00105,2013,1,1,Alabama,"Jefferson, AL",Gardendale
583,AL00105,2016,1,1,Alabama,"Jefferson, AL",Gardendale
584,AL00105,2018,1,1,Alabama,"Jefferson, AL",Gardendale
607,AL00106,2010,2,2,Alabama,"Jefferson, AL",Leeds
608,AL00106,2011,1,0,Alabama,"Jefferson, AL",Leeds
609,AL00106,2012,1,1,Alabama,"Jefferson, AL",Leeds
610,AL00106,2013,2,1,Alabama,"Jefferson, AL",Leeds
611,AL00106,2014,2,2,Alabama,"Jefferson, AL",Leeds
612,AL00106,2015,1,0,Alabama,"Jefferson, AL",Leeds
626,AL00107,2010,2,1,Alabama,"Jefferson, AL",Midfield
627,AL00107,2011,1,0,Alabama,"Jefferson, AL",Midfield
628,AL00107,2012,3,2,Alabama,"Jefferson, AL",Midfield
629,AL00107,2016,1,1,Alabama,"Jefferson, AL",Midfield
630,AL00107,2017,3,3,Alabama,"Jefferson, AL",Midfield
631,AL00107,2018,1,0,Alabama,"Jefferson, AL",Midfield
632,AL00107,2019,2,0,Alabama,"Jefferson, AL",Midfield
651,AL00108,2010,3,3,Alabama,"Jefferson, AL",Tarrant City
652,AL00108,2011,1,1,Alabama,"Jefferson, AL",Tarrant City
653,AL00108,2013,1,0,Alabama,"Jefferson, AL",Tarrant City
654,AL00108,2014,2,0,Alabama,"Jefferson, AL",Tarrant City
655,AL00108,2015,2,1,Alabama,"Jefferson, AL",Tarrant City
656,AL00108,2016,1,0,Alabama,"Jefferson, AL",Tarrant City
657,AL00108,2017,4,3,Alabama,"Jefferson, AL",Tarrant City
658,AL00108,2018,1,1,Alabama,"Jefferson, AL",Tarrant City
659,AL00108,2019,1,1,Alabama,"Jefferson, AL",Tarrant City
667,AL00109,2010,1,1,Alabama,"Jefferson, AL",Vestavia Hills
668,AL00109,2017,1,0,Alabama,"Jefferson, AL",Vestavia Hills
697,AL00110,2010,0,1,Alabama,"Jefferson, AL",Homewood
698,AL00110,2016,2,0,Alabama,"Jefferson, AL",Homewood
704,AL00111,2016,2,2,Alabama,"Jefferson, AL",Fultondale
721,AL00112,2010,1,0,Alabama,"Jefferson, AL",Hoover
722,AL00112,2012,2,1,Alabama,"Jefferson, AL",Hoover
723,AL00112,2013,2,3,Alabama,"Jefferson, AL",Hoover
724,AL00112,2014,1,1,Alabama,"Jefferson, AL",Hoover
725,AL00112,2015,3,3,Alabama,"Jefferson, AL",Hoover
726,AL00112,2016,3,3,Alabama,"Jefferson, AL",Hoover
727,AL00112,2017,2,1,Alabama,"Jefferson, AL",Hoover
728,AL00112,2018,2,1,Alabama,"Jefferson, AL",Hoover
729,AL00112,2019,4,3,Alabama,"Jefferson, AL",Hoover
741,AL00113,2010,1,1,Alabama,"Jefferson, AL",Irondale
742,AL00113,2011,2,2,Alabama,"Jefferson, AL",Irondale
743,AL00113,2014,1,1,Alabama,"Jefferson, AL",Irondale
744,AL00113,2016,1,0,Alabama,"Jefferson, AL",Irondale
745,AL00113,2017,2,0,Alabama,"Jefferson, AL",Irondale
746,AL00113,2018,1,0,Alabama,"Jefferson, AL",Irondale
753,AL00114,2013,1,0,Alabama,"Jefferson, AL",Pleasant Grove
754,AL00114,2014,1,1,Alabama,"Jefferson, AL",Pleasant Grove
755,AL00114,2016,1,0,Alabama,"Jefferson, AL",Pleasant Grove
768,AL00118,2012,1,1,Alabama,"Jefferson, AL",Brighton
769,AL00118,2015,6,0,Alabama,"Jefferson, AL",Brighton
789,AL00119,2011,2,1,Alabama,"Jefferson, AL",Hueytown
790,AL00119,2012,2,0,Alabama,"Jefferson, AL",Hueytown
791,AL00119,2013,1,1,Alabama,"Jefferson, AL",Hueytown
792,AL00119,2014,1,1,Alabama,"Jefferson, AL",Hueytown
793,AL00119,2016,1,1,Alabama,"Jefferson, AL",Hueytown
794,AL00119,2017,2,1,Alabama,"Jefferson, AL",Hueytown
799,AL00120,2010,1,1,Alabama,"Jefferson, AL",Lipscomb
808,AL00122,2011,2,1,Alabama,"Jefferson, AL",Adamsville
809,AL00122,2013,1,0,Alabama,"Jefferson, AL",Adamsville
810,AL00122,2015,1,1,Alabama,"Jefferson, AL",Adamsville
811,AL00122,2017,1,0,Alabama,"Jefferson, AL",Adamsville
816,AL00126,2015,1,0,Alabama,"Jefferson, AL",Morris
817,AL00129,2019,1,1,Alabama,"Jefferson, AL",Kimberly
861,AL00200,2010,5,5,Alabama,"Mobile, AL",Mobile County
862,AL00200,2011,6,5,Alabama,"Mobile, AL",Mobile County
863,AL00200,2012,6,6,Alabama,"Mobile, AL",Mobile County
864,AL00200,2013,5,4,Alabama,"Mobile, AL",Mobile County
865,AL00200,2014,3,2,Alabama,"Mobile, AL",Mobile County
866,AL00200,2015,4,4,Alabama,"Mobile, AL",Mobile County
867,AL00200,2016,9,6,Alabama,"Mobile, AL",Mobile County
868,AL00200,2017,5,5,Alabama,"Mobile, AL",Mobile County
869,AL00200,2018,1,1,Alabama,"Mobile, AL",Mobile County
870,AL00200,2019,3,3,Alabama,"Mobile, AL",Mobile County
916,AL00201,2010,25,18,Alabama,"Mobile, AL",Mobile
917,AL00201,2011,30,22,Alabama,"Mobile, AL",Mobile
918,AL00201,2012,32,0,Alabama,"Mobile, AL",Mobile
919,AL00201,2013,29,23,Alabama,"Mobile, AL",Mobile
920,AL00201,2014,31,19,Alabama,"Mobile, AL",Mobile
921,AL00201,2015,24,12,Alabama,"Mobile, AL",Mobile
922,AL00201,2016,44,31,Alabama,"Mobile, AL",Mobile
923,AL00201,2017,50,42,Alabama,"Mobile, AL",Mobile
924,AL00201,2018,26,20,Alabama,"Mobile, AL",Mobile
967,AL00202,2010,3,0,Alabama,"Mobile, AL",Prichard
968,AL00202,2011,6,1,Alabama,"Mobile, AL",Prichard
969,AL00202,2012,6,1,Alabama,"Mobile, AL",Prichard
970,AL00202,2013,4,2,Alabama,"Mobile, AL",Prichard
971,AL00202,2014,4,3,Alabama,"Mobile, AL",Prichard
972,AL00202,2015,14,2,Alabama,"Mobile, AL",Prichard
973,AL00202,2016,8,1,Alabama,"Mobile, AL",Prichard
974,AL00202,2017,9,3,Alabama,"Mobile, AL",Prichard
975,AL00202,2018,7,1,Alabama,"Mobile, AL",Prichard
976,AL00202,2019,5,1,Alabama,"Mobile, AL",Prichard
985,AL00203,2015,1,0,Alabama,"Mobile, AL",Chickasaw
990,AL00204,2011,1,1,Alabama,"Mobile, AL",Citronelle
991,AL00204,2013,2,1,Alabama,"Mobile, AL",Citronelle
992,AL00204,2015,1,0,Alabama,"Mobile, AL",Citronelle
1006,AL00205,2012,1,1,Alabama,"Mobile, AL",Saraland
1007,AL00205,2018,1,0,Alabama,"Mobile, AL",Saraland
1020,AL00206,2011,1,0,Alabama,"Mobile, AL",Bayou La Batre
1027,AL00207,2012,1,0,Alabama,"Mobile, AL",Satsuma
1029,AL00208,2011,1,0,Alabama,"Mobile, AL",Mount Vernon
1030,AL00208,2014,1,0,Alabama,"Mobile, AL",Mount Vernon
1031,AL00208,2019,1,0,Alabama,"Mobile, AL",Mount Vernon
1035,AL00212,2011,1,1,Alabama,"Mobile, AL",Creola
1036,AL00214,2011,1,1,Alabama,"Mobile, AL",Univ Of South Alabama
1066,AL00300,2011,3,2,Alabama,"Montgomery, AL",Montgomery County
1067,AL00300,2016,1,1,Alabama,"Montgomery, AL",Montgomery County
1068,AL00300,2019,2,1,Alabama,"Montgomery, AL",Montgomery County
1114,AL00301,2010,25,18,Alabama,"Montgomery, AL",Montgomery
1115,AL00301,2011,31,5,Alabama,"Montgomery, AL",Montgomery
1116,AL00301,2012,44,0,Alabama,"Montgomery, AL",Montgomery
1117,AL00301,2013,3,2,Alabama,"Montgomery, AL",Montgomery
1118,AL00301,2014,35,9,Alabama,"Montgomery, AL",Montgomery
1119,AL00301,2015,33,8,Alabama,"Montgomery, AL",Montgomery
1120,AL00301,2016,30,9,Alabama,"Montgomery, AL",Montgomery
1121,AL00301,2017,38,2,Alabama,"Montgomery, AL",Montgomery
1122,AL00301,2018,29,2,Alabama,"Montgomery, AL",Montgomery
1127,AL00314,2012,1,0,Alabama,"Montgomery, AL",State Fire Marshal
1128,AL00332,2019,5,2,Alabama,"Montgomery, AL",Alabama Dept of Corrections
1153,AL00400,2011,1,1,Alabama,"Autauga, AL",Autauga County
1154,AL00400,2014,2,0,Alabama,"Autauga, AL",Autauga County
1155,AL00400,2016,1,1,Alabama,"Autauga, AL",Autauga County
1156,AL00400,2017,2,1,Alabama,"Autauga, AL",Autauga County
1157,AL00400,2019,1,1,Alabama,"Autauga, AL",Autauga County
1181,AL00401,2011,1,1,Alabama,"Autauga, AL",Prattville
1182,AL00401,2012,3,3,Alabama,"Autauga, AL",Prattville
1183,AL00401,2013,2,2,Alabama,"Autauga, AL",Prattville
1184,AL00401,2015,1,1,Alabama,"Autauga, AL",Prattville
1185,AL00401,2016,2,2,Alabama,"Autauga, AL",Prattville
1186,AL00401,2017,4,4,Alabama,"Autauga, AL",Prattville
1187,AL00401,2018,1,0,Alabama,"Autauga, AL",Prattville
1188,AL00401,2019,1,0,Alabama,"Autauga, AL",Prattville
1219,AL00500,2012,3,2,Alabama,"Baldwin, AL",Baldwin County
1220,AL00500,2016,1,1,Alabama,"Baldwin, AL",Baldwin County
1221,AL00500,2017,1,1,Alabama,"Baldwin, AL",Baldwin County
1236,AL00501,2012,2,2,Alabama,"Baldwin, AL",Bay Minette
1237,AL00501,2016,1,1,Alabama,"Baldwin, AL",Bay Minette
1238,AL00501,2017,1,1,Alabama,"Baldwin, AL",Bay Minette
1249,AL00502,2010,1,1,Alabama,"Baldwin, AL",Fairhope
1250,AL00502,2011,1,1,Alabama,"Baldwin, AL",Fairhope
1251,AL00502,2012,1,1,Alabama,"Baldwin, AL",Fairhope
1268,AL00503,2014,1,1,Alabama,"Baldwin, AL",Foley
1269,AL00503,2018,2,2,Alabama,"Baldwin, AL",Foley
1277,AL00504,2010,1,0,Alabama,"Baldwin, AL",Gulf Shores
1278,AL00504,2014,1,0,Alabama,"Baldwin, AL",Gulf Shores
1279,AL00504,2017,1,0,Alabama,"Baldwin, AL",Gulf Shores
1286,AL00505,2010,1,0,Alabama,"Baldwin, AL",Robertsdale
1287,AL00505,2019,1,1,Alabama,"Baldwin, AL",Robertsdale
1289,AL00506,2017,1,0,Alabama,"Baldwin, AL",Loxley
1304,AL00508,2011,1,1,Alabama,"Baldwin, AL",Daphne
1305,AL00508,2012,1,1,Alabama,"Baldwin, AL",Daphne
1306,AL00508,2013,1,1,Alabama,"Baldwin, AL",Daphne
1307,AL00508,2015,2,1,Alabama,"Baldwin, AL",Daphne
1308,AL00508,2019,1,1,Alabama,"Baldwin, AL",Daphne
1310,AL00509,2014,1,1,Alabama,"Baldwin, AL",Summerdale
1311,AL00510,2014,1,1,Alabama,"Baldwin, AL",Elberta
1312,AL00510,2015,1,1,Alabama,"Baldwin, AL",Elberta
1316,AL00512,2012,1,1,Alabama,"Baldwin, AL",Orange Beach
1317,AL00512,2018,1,1,Alabama,"Baldwin, AL",Orange Beach
1334,AL00600,2013,1,0,Alabama,"Barbour, AL",Barbour County
1335,AL00600,2014,2,0,Alabama,"Barbour, AL",Barbour County
1336,AL00600,2015,2,1,Alabama,"Barbour, AL",Barbour County
1360,AL00601,2010,1,0,Alabama,"Barbour, AL",Eufaula
1361,AL00601,2014,1,1,Alabama,"Barbour, AL",Eufaula
1362,AL00601,2015,1,1,Alabama,"Barbour, AL",Eufaula
1363,AL00601,2016,3,1,Alabama,"Barbour, AL",Eufaula
1364,AL00601,2018,1,1,Alabama,"Barbour, AL",Eufaula
1365,AL00601,2019,3,3,Alabama,"Barbour, AL",Eufaula
1378,AL00701,2014,1,0,Alabama,"Bibb, AL",Centreville
1379,AL00702,2012,1,1,Alabama,"Bibb, AL",Brent
1380,AL00702,2015,2,1,Alabama,"Bibb, AL",Brent
1381,AL00702,2019,1,1,Alabama,"Bibb, AL",Brent
1382,AL00704,2014,1,1,Alabama,"Bibb, AL",Woodstock
1406,AL00800,2011,3,2,Alabama,"Blount, AL",Blount County
1407,AL00800,2012,1,1,Alabama,"Blount, AL",Blount County
1408,AL00800,2015,5,4,Alabama,"Blount, AL",Blount County
1409,AL00800,2016,1,1,Alabama,"Blount, AL",Blount County
1410,AL00800,2017,1,0,Alabama,"Blount, AL",Blount County
1411,AL00800,2018,1,1,Alabama,"Blount, AL",Blount County
1418,AL00802,2015,1,0,Alabama,"Blount, AL",Blountsville
1438,AL00901,2013,1,0,Alabama,"Bullock, AL",Union Springs
1439,AL00901,2015,2,0,Alabama,"Bullock, AL",Union Springs
1440,AL00901,2016,1,0,Alabama,"Bullock, AL",Union Springs
1457,AL01000,2010,1,1,Alabama,"Butler, AL",Butler County
1458,AL01000,2011,1,1,Alabama,"Butler, AL",Butler County
1459,AL01000,2012,3,2,Alabama,"Butler, AL",Butler County
1460,AL01000,2013,1,1,Alabama,"Butler, AL",Butler County
1461,AL01000,2014,1,0,Alabama,"Butler, AL",Butler County
1462,AL01000,2015,1,0,Alabama,"Butler, AL",Butler County
1463,AL01000,2016,2,0,Alabama,"Butler, AL",Butler County
1464,AL01000,2017,2,0,Alabama,"Butler, AL",Butler County
1492,AL01001,2012,2,2,Alabama,"Butler, AL",Greenville
1493,AL01001,2014,3,2,Alabama,"Butler, AL",Greenville
1494,AL01001,2015,2,2,Alabama,"Butler, AL",Greenville
1495,AL01001,2016,3,3,Alabama,"Butler, AL",Greenville
1496,AL01001,2017,1,1,Alabama,"Butler, AL",Greenville
1501,AL01002,2012,1,1,Alabama,"Butler, AL",Georgiana
1579,AL01101,2010,3,3,Alabama,"Calhoun, AL",Anniston
1580,AL01101,2011,11,7,Alabama,"Calhoun, AL",Anniston
1581,AL01101,2012,5,5,Alabama,"Calhoun, AL",Anniston
1582,AL01101,2013,5,5,Alabama,"Calhoun, AL",Anniston
1583,AL01101,2014,4,4,Alabama,"Calhoun, AL",Anniston
1584,AL01101,2015,8,6,Alabama,"Calhoun, AL",Anniston
1585,AL01101,2016,7,7,Alabama,"Calhoun, AL",Anniston
1586,AL01101,2017,14,13,Alabama,"Calhoun, AL",Anniston
1587,AL01101,2018,7,5,Alabama,"Calhoun, AL",Anniston
1588,AL01101,2019,4,4,Alabama,"Calhoun, AL",Anniston
1599,AL01102,2010,1,1,Alabama,"Calhoun, AL",Jacksonville
1600,AL01102,2014,1,1,Alabama,"Calhoun, AL",Jacksonville
1601,AL01102,2015,1,1,Alabama,"Calhoun, AL",Jacksonville
1602,AL01102,2017,2,1,Alabama,"Calhoun, AL",Jacksonville
1613,AL01103,2016,1,1,Alabama,"Calhoun, AL",Piedmont
1614,AL01103,2018,1,1,Alabama,"Calhoun, AL",Piedmont
1615,AL01103,2019,1,1,Alabama,"Calhoun, AL",Piedmont
1622,AL01104,2013,1,1,Alabama,"Calhoun, AL",Weaver
1638,AL01105,2010,4,1,Alabama,"Calhoun, AL",Oxford
1639,AL01105,2011,4,3,Alabama,"Calhoun, AL",Oxford
1640,AL01105,2012,1,1,Alabama,"Calhoun, AL",Oxford
1641,AL01105,2013,2,2,Alabama,"Calhoun, AL",Oxford
1642,AL01105,2014,2,1,Alabama,"Calhoun, AL",Oxford
1643,AL01105,2015,1,1,Alabama,"Calhoun, AL",Oxford
1644,AL01105,2017,1,1,Alabama,"Calhoun, AL",Oxford
1700,AL01201,2016,1,0,Alabama,"Chambers, AL",Lafayette
1720,AL01202,2011,1,1,Alabama,"Chambers, AL",Lanett
1721,AL01202,2012,1,1,Alabama,"Chambers, AL",Lanett
1722,AL01202,2013,1,1,Alabama,"Chambers, AL",Lanett
1723,AL01202,2014,1,1,Alabama,"Chambers, AL",Lanett
1724,AL01202,2015,3,3,Alabama,"Chambers, AL",Lanett
1725,AL01202,2017,2,2,Alabama,"Chambers, AL",Lanett
1737,AL01204,2013,2,1,Alabama,"Chambers, AL",Valley
1738,AL01204,2015,1,1,Alabama,"Chambers, AL",Valley
1739,AL01204,2018,2,2,Alabama,"Chambers, AL",Valley
1740,AL01204,2019,1,1,Alabama,"Chambers, AL",Valley
1749,AL01300,2010,1,1,Alabama,"Cherokee, AL",Cherokee County
1750,AL01300,2011,1,0,Alabama,"Cherokee, AL",Cherokee County
1751,AL01300,2013,1,0,Alabama,"Cherokee, AL",Cherokee County
1752,AL01300,2014,2,1,Alabama,"Cherokee, AL",Cherokee County
1753,AL01300,2015,2,2,Alabama,"Cherokee, AL",Cherokee County
1754,AL01300,2016,2,2,Alabama,"Cherokee, AL",Cherokee County
1755,AL01300,2017,3,3,Alabama,"Cherokee, AL",Cherokee County
1756,AL01300,2019,1,0,Alabama,"Cherokee, AL",Cherokee County
1759,AL01301,2012,1,1,Alabama,"Cherokee, AL",Centre
1760,AL01301,2018,2,2,Alabama,"Cherokee, AL",Centre
1763,AL01302,2011,1,1,Alabama,"Cherokee, AL",Cedar Bluff
1764,AL01302,2016,1,1,Alabama,"Cherokee, AL",Cedar Bluff
1765,AL01303,2014,1,1,Alabama,"Cherokee, AL",Leesburg
1766,AL01303,2016,1,1,Alabama,"Cherokee, AL",Leesburg
1787,AL01400,2011,1,1,Alabama,"Chilton, AL",Chilton County
1788,AL01400,2013,1,1,Alabama,"Chilton, AL",Chilton County
1789,AL01400,2017,2,1,Alabama,"Chilton, AL",Chilton County
1804,AL01401,2014,1,1,Alabama,"Chilton, AL",Clanton
1805,AL01401,2015,1,0,Alabama,"Chilton, AL",Clanton
1809,AL01403,2013,2,2,Alabama,"Chilton, AL",Jemison
1810,AL01403,2017,1,1,Alabama,"Chilton, AL",Jemison
1829,AL01500,2011,1,1,Alabama,"Choctaw, AL",Choctaw County
1830,AL01500,2017,1,1,Alabama,"Choctaw, AL",Choctaw County
1831,AL01501,2012,1,1,Alabama,"Choctaw, AL",Butler
1850,AL01600,2010,7,4,Alabama,"Clarke, AL",Clarke County
1851,AL01600,2015,3,3,Alabama,"Clarke, AL",Clarke County
1852,AL01600,2016,3,2,Alabama,"Clarke, AL",Clarke County
1853,AL01600,2017,1,1,Alabama,"Clarke, AL",Clarke County
1865,AL01601,2011,1,1,Alabama,"Clarke, AL",Jackson
1866,AL01601,2018,1,0,Alabama,"Clarke, AL",Jackson
1874,AL01602,2010,1,0,Alabama,"Clarke, AL",Thomasville
1925,AL01900,2015,1,0,Alabama,"Coffee, AL",Coffee County
1926,AL01900,2017,2,0,Alabama,"Coffee, AL",Coffee County
1927,AL01900,2018,1,0,Alabama,"Coffee, AL",Coffee County
1937,AL01901,2010,1,1,Alabama,"Coffee, AL",Elba
1967,AL01902,2010,4,3,Alabama,"Coffee, AL",Enterprise
1968,AL01902,2011,1,0,Alabama,"Coffee, AL",Enterprise
1969,AL01902,2012,2,1,Alabama,"Coffee, AL",Enterprise
1970,AL01902,2013,2,1,Alabama,"Coffee, AL",Enterprise
1971,AL01902,2016,1,1,Alabama,"Coffee, AL",Enterprise
1972,AL01902,2017,1,1,Alabama,"Coffee, AL",Enterprise
1973,AL01902,2018,1,0,Alabama,"Coffee, AL",Enterprise
1974,AL01903,2015,1,1,Alabama,"Coffee, AL",New Brockton
2002,AL02000,2012,1,1,Alabama,"Colbert, AL",Colbert County
2003,AL02000,2018,2,0,Alabama,"Colbert, AL",Colbert County
2031,AL02001,2013,2,1,Alabama,"Colbert, AL",Sheffield
2032,AL02001,2014,1,0,Alabama,"Colbert, AL",Sheffield
2033,AL02001,2018,1,1,Alabama,"Colbert, AL",Sheffield
2042,AL02002,2011,1,0,Alabama,"Colbert, AL",Tuscumbia
2043,AL02002,2012,1,0,Alabama,"Colbert, AL",Tuscumbia
2044,AL02002,2014,1,1,Alabama,"Colbert, AL",Tuscumbia
