ORI,YEAR,MRD,CLR,State,County,Agency
WY01301,2015,1,1,Wyoming,"Natrona, WY",Casper
VA09400,2013,2,2,Virginia,"Washington, VA",Washington County
OK06401,2015,1,0,Oklahoma,"Pushmataha, OK",Antlers
TX10125,2010,1,1,Texas,"Harris, TX",Webster
TX22600,2013,3,2,Texas,"Tom Green, TX",Tom Green County
NC03200,2014,0,1,North Carolina,"Durham, NC",Durham County
IN06402,2015,3,1,Indiana,"Porter, IN",Portage
IL04506,2012,2,0,Illinois,"Kane, IL",Elgin
FL04401,2018,0,1,Florida,"Monroe, FL",Key West
IL08202,2019,2,0,Illinois,"St. Clair, IL",Belleville
UT01800,2010,6,6,Utah,"Salt Lake, UT",Salt Lake County
VA12300,2019,13,10,Virginia,"Roanoke, VA",Roanoke
TN08302,2017,2,1,Tennessee,"Sumner, TN",Portland
MI26026,2019,1,1,Michigan,"Gladwin, MI",State Police: Gladwin County
AL00505,2010,1,0,Alabama,"Baldwin, AL",Robertsdale
PA02502,2012,8,5,Pennsylvania,"Erie, PA",Erie
WA02100,2013,1,1,Washington,"Lewis, WA",Lewis County
GA10701,2015,2,2,Georgia,"Newton, GA",Covington
TX24900,2018,3,2,Texas,"Wise, TX",Wise County
NC09700,2010,2,2,North Carolina,"Wilkes, NC",Wilkes County
PA001SP,2010,3,3,Pennsylvania,"Adams, PA",State Police: Adams County
NY04500,2012,1,1,New York,"Saratoga, NY",Saratoga County
GA03302,2016,16,10,Georgia,"Cobb, GA",Cobb County Police Department
LA03501,2019,4,3,Louisiana,"Natchitoches, LA",Natchitoches
PA046SP,2010,1,0,Pennsylvania,"Montgomery, PA",State Police: Skippack
NVDI005,2016,1,0,Nevada,"Pershing, NV",Lovelock Paiute Tribal
TX11400,2018,1,0,Texas,"Howard, TX",Howard County
IL05802,2014,1,0,Illinois,"Macon, IL",Decatur
TN01100,2016,2,0,Tennessee,"Cheatham, TN",Cheatham County
KY04700,2017,1,2,Kentucky,"Hardin, KY",Hardin County
