ORI,YEAR,MRD,CLR,State,County,Agency
AL02100,2018,1,0,Alabama,"Conecuh, AL",Conecuh County
IA05700,2012,1,0,Iowa,"Linn, IA",Linn County
MO00900,2014,1,1,Missouri,"Bollinger, MO",Bollinger County
CO00108,2017,1,0,Colorado,"Adams, CO",Federal Heights
PA00264,2018,1,1,Pennsylvania,"Allegheny, PA",East Pittsburgh
TX23708,2015,2,1,Texas,"Waller, TX",Prairie View
NJ003SP,2018,1,1,New Jersey,"Burlington, NJ",State Police: Burlington County
CA01506,2015,1,1,California,"Kern, CA",Ridgecrest
NY02754,2014,1,1,New York,"Monroe, NY",Greece Town
AL02002,2016,1,1,Alabama,"Colbert, AL",Tuscumbia
MI18313,2017,1,1,Michigan,"Clare, MI",Clare
CT00094,2012,1,1,Connecticut,"Hartford, CT",Newington
WY02101,2016,2,0,Wyoming,"Uinta, WY",Evanston
MN02000,2018,1,1,Minnesota,"Dodge, MN",Dodge County
SC00801,2016,1,1,South Carolina,"Berkeley, SC",Moncks Corner
WI03008,2017,1,1,Wisconsin,"Kenosha, WI",Pleasant Prairie
NJ00706,2017,9,5,New Jersey,"Essex, NJ",East Orange
FL05905,2019,2,0,Florida,"Seminole, FL",Sanford
LA05501,2013,5,5,Louisiana,"Terrebonne, LA",Houma
IL02227,2010,3,0,Illinois,"DuPage, IL",Darien
NY03301,2011,11,8,New York,"Onondaga, NY",Syracuse
TX11701,2016,0,1,Texas,"Hutchinson, TX",Borger
VTVSP02,2019,1,0,Vermont,"Bennington, VT",State Police: St. Johnsbury
FL05902,2011,1,0,Florida,"Seminole, FL",Casselberry
NM02501,2013,3,1,New Mexico,"San Miguel, NM",Las Vegas
SC00805,2015,1,0,South Carolina,"Berkeley, SC",St. Stephen
TN09501,2013,2,1,Tennessee,"Wilson, TN",Lebanon
TX08200,2018,2,2,Texas,"Frio, TX",Frio County
IN08201,2015,4,5,Indiana,"Vanderburgh, IN",Evansville
CT00101,2011,0,1,Connecticut,"New Haven, CT",North Haven
MS03402,2015,4,3,Mississippi,"Jones, MS",Laurel
NC04100,2014,1,1,North Carolina,"Guilford, NC",Guilford County
MS07501,2010,2,1,Mississippi,"Warren, MS",Vicksburg
FL05025,2017,1,0,Florida,"Palm Beach, FL",Pahokee
NJ01303,2012,3,1,New Jersey,"Monmouth, NJ",Asbury Park
NH00116,2013,1,1,New Hampshire,"Belknap, NH",Meredith
WI06300,2019,1,1,Wisconsin,"Vernon, WI",Vernon County
NY05900,2014,1,1,New York,"Westchester, NY",Westchester Public Safety
TX24609,2010,2,2,Texas,"Williamson, TX",Cedar Park
IL09913,2018,1,0,Illinois,"Will, IL",Romeoville
OH00902,2012,3,3,Ohio,"Butler, OH",Hamilton
GA09900,2015,2,0,Georgia,"Meriwether, GA",Meriwether County
GA07701,2010,1,0,Georgia,"Irwin, GA",Ocilla
CA02100,2016,3,1,California,"Marin, CA",Marin County
NY01301,2019,1,1,New York,"Dutchess, NY",Beacon
MN02711,2015,47,24,Minnesota,"Hennepin, MN",Minneapolis
PA04013,2016,3,2,Pennsylvania,"Luzerne, PA",Wilkes-Barre
NJ00610,2018,3,1,New Jersey,"Cumberland, NJ",Millville
SC03900,2019,4,4,South Carolina,"Pickens, SC",Pickens County
AL03800,2019,1,1,Alabama,"Houston, AL",Houston County
NJ00437,2017,1,0,New Jersey,"Camden, NJ",Woodlynne
FL04806,2016,2,2,Florida,"Orange, FL",Winter Park
MO10801,2011,2,2,Missouri,"Texas, MO",Cabool
OR00700,2016,1,1,Oregon,"Crook, OR",Crook County
CA00105,2015,2,3,California,"Alameda, CA",Fremont
NM03200,2019,3,2,New Mexico,"Valencia, NM",Valencia County
TX05712,2017,2,3,Texas,"Dallas, TX",Grand Prairie
LA04800,2013,13,4,Louisiana,"St. John the Baptist, LA",St. John The Baptist County
CA03007,2015,1,0,California,"Orange, CA",Fountain Valley
LANPD00,2011,200,62,Louisiana,"Orleans, LA",New Orleans
SD01100,2015,5,5,South Dakota,"Charles Mix, SD",Charles Mix County
NC09200,2018,5,2,North Carolina,"Wake, NC",Wake County
CA0191H,2014,1,0,California,"Los Angeles, CA",West Hollywood
NC02402,2015,2,3,North Carolina,"Columbus, NC",Chadbourn
TX07901,2018,5,2,Texas,"Fort Bend, TX",Missouri City
GA12100,2019,14,23,Georgia,"Richmond, GA",Augusta-Richmond County
AR02301,2018,5,3,Arkansas,"Faulkner, AR",Conway
TX10700,2019,2,1,Texas,"Henderson, TX",Henderson County
WI05101,2013,1,1,Wisconsin,"Price, WI",Park Falls
CA01977,2014,9,2,California,"Los Angeles, CA",Carson
SC02606,2015,8,8,South Carolina,"Horry, SC",Myrtle Beach
DE301SP,2013,3,3,Delaware,"Kent, DE",State Police: Kent County
IL08108,2016,4,0,Illinois,"Rock Island, IL",Rock Island
GA06008,2019,2,2,Georgia,"Fulton, GA",Palmetto
PA02208,2019,1,1,Pennsylvania,"Dauphin, PA",Susquehanna Township
WA02702,2012,1,0,Washington,"Pierce, WA",Sumner
NJ01808,2018,1,1,New Jersey,"Somerset, NJ",Franklin Township (Somerset County)
MD304SP,2010,1,0,Maryland,"Calvert, MD",State Police: Calvert County
GA04801,2017,0,1,Georgia,"Douglas, GA",Douglasville
IL05203,2019,1,0,Illinois,"Lee, IL",Dixon
CA04908,2017,1,1,California,"Sonoma, CA",Petaluma
PA021SP,2011,1,2,Pennsylvania,"Cumberland, PA",State Police: Cumberland County
NC01902,2017,1,0,North Carolina,"Chatham, NC",Pittsboro
CA03330,2018,2,0,California,"Riverside, CA",Lake Elsinore
MI25650,2018,1,1,Michigan,"Genesee, MI",Metro Pol Auth Genesee County
CA03616,2013,1,1,California,"San Bernardino, CA",Rancho Cucamonga
IA03401,2017,1,0,Iowa,"Floyd, IA",Charles City
TX04600,2012,2,1,Texas,"Comal, TX",Comal County
TX17500,2011,1,1,Texas,"Navarro, TX",Navarro County
NC03500,2013,3,1,North Carolina,"Franklin, NC",Franklin County
FL00516,2010,1,0,Florida,"Brevard, FL",West Melbourne
NY05950,2015,1,0,New York,"Westchester, NY",Bedford Town
WVWSP55,2017,1,1,West Virginia,"McDowell, WV",State Police: Welch
TX04501,2013,1,1,Texas,"Colorado, TX",Columbus
IL01684,2012,1,0,Illinois,"Cook, IL",Palatine
VA07300,2013,2,0,Virginia,"Prince Edward, VA",Prince Edward County
UT02301,2019,1,0,Utah,"Tooele, UT",Tooele
OH02506,2017,4,1,Ohio,"Franklin, OH",Grove City
WA02101,2016,1,1,Washington,"Lewis, WA",Centralia
CA04308,2016,1,0,California,"Santa Clara, CA",Milpitas
FL02200,2010,1,0,Florida,"Glades, FL",Glades County
CA00709,2010,1,1,California,"Contra Costa, CA",Pleasant Hill
TX04702,2011,2,1,Texas,"Comanche, TX",De Leon
WV00201,2015,1,0,West Virginia,"Berkeley, WV",Martinsburg
WY01701,2016,2,2,Wyoming,"Sheridan, WY",Sheridan
NY05155,2019,1,1,New York,"Suffolk, NY",Riverhead Town
NY05601,2018,1,1,New York,"Warren, NY",Glens Falls
NB01100,2018,1,1,Nebraska,"Burt, NE",Burt County
IN06404,2011,1,0,Indiana,"Porter, IN",Burns Harbor
IA05200,2010,1,1,Iowa,"Johnson, IA",Johnson County
FL01307,2017,4,1,Florida,"Miami-Dade, FL",Miami Beach
WA01700,2016,3,2,Washington,"King, WA",King County
CA03610,2016,62,21,California,"San Bernardino, CA",San Bernardino
IA05702,2015,1,1,Iowa,"Linn, IA",Marion
GA02400,2019,1,0,Georgia,"Charlton, GA",Charlton County
MI62162,2014,1,1,Michigan,"Newaygo, MI",Newaygo
KYKSP07,2018,10,12,Kentucky,"Madison, KY",State Police Post 7
CA01702,2012,2,0,California,"Lake, CA",Clearlake
OR02402,2012,7,3,Oregon,"Marion, OR",Salem
WY01800,2014,1,1,Wyoming,"Sublette, WY",Sublette County
WA01748,2012,1,0,Washington,"King, WA",Covington
MN01904,2017,1,1,Minnesota,"Dakota, MN",Mendota Heights
CO00100,2018,6,7,Colorado,"Adams, CO",Adams County
OK05800,2011,1,1,Oklahoma,"Ottawa, OK",Ottawa County
MO06001,2013,1,1,Missouri,"McDonald, MO",Anderson
PA03512,2018,1,1,Pennsylvania,"Lackawanna, PA",Taylor
MS07601,2014,6,0,Mississippi,"Washington, MS",Greenville
OH01817,2014,2,1,Ohio,"Cuyahoga, OH",East Cleveland
IL0166B,2012,1,0,Illinois,"Cook, IL",Westchester
WA02900,2018,2,3,Washington,"Skagit, WA",Skagit County
MA00304,2018,2,1,Massachusetts,"Bristol, MA",Dartmouth
IL02231,2013,1,0,Illinois,"DuPage, IL",Burr Ridge
NY04601,2015,6,5,New York,"Schenectady, NY",Schenectady
IL02209,2016,1,0,Illinois,"DuPage, IL",Glen Ellyn
CA01939,2019,1,0,California,"Los Angeles, CA",Lawndale
NM02301,2019,1,1,New Mexico,"Sandoval, NM",Bernalillo
OK06002,2012,1,1,Oklahoma,"Payne, OK",Stillwater
NC02601,2014,19,16,North Carolina,"Cumberland, NC",Fayetteville
MI74676,2012,1,1,Michigan,"St. Clair, MI",Port Huron
MT02501,2017,1,1,Montana,"Lewis and Clark, MT",Helena
WA00100,2016,1,1,Washington,"Adams, WA",Adams County
NJ00701,2011,2,0,New Jersey,"Essex, NJ",Belleville
TX21204,2016,5,1,Texas,"Smith, TX",Tyler
NC02000,2015,3,2,North Carolina,"Cherokee, NC",Cherokee County
MA01446,2012,1,1,Massachusetts,"Worcester, MA",Spencer
IA00703,2014,6,3,Iowa,"Black Hawk, IA",Waterloo
CO05900,2015,1,1,Colorado,"Summit, CO",Summit County
TN08800,2016,1,1,Tennessee,"Van Buren, TN",Van Buren County
MO09526,2015,1,0,Missouri,"St. Louis, MO",Eureka
NC02603,2015,1,1,North Carolina,"Cumberland, NC",Spring Lake
VA04400,2019,2,3,Virginia,"Henry, VA",Henry County
NV01601,2011,14,10,Nevada,"Washoe, NV",Reno
MI50360,2019,3,2,Michigan,"Macomb, MI",Eastpointe
MN00900,2018,1,1,Minnesota,"Carlton, MN",Carlton County
PA063SP,2012,2,2,Pennsylvania,"Washington, PA",State Police: Washington County
TN03800,2017,2,2,Tennessee,"Haywood, TN",Haywood County
IN01902,2011,2,3,Indiana,"Dubois, IN",Jasper
AZ00723,2019,131,83,Arizona,"Maricopa, AZ",Phoenix
IL08223,2018,1,0,Illinois,"St. Clair, IL",Swansea
OK04401,2019,1,0,Oklahoma,"McClain, OK",Blanchard
LA01500,2014,2,1,Louisiana,"Concordia, LA",Concordia County
KY10001,2017,1,0,Kentucky,"Pulaski, KY",Somerset
IA05900,2010,1,1,Iowa,"Lucas, IA",Lucas County
MS01700,2017,5,0,Mississippi,"DeSoto, MS",Desoto County
IN350SP,2014,1,0,Indiana,"Marshall, IN",State Police: Marshall County
NC07700,2017,4,3,North Carolina,"Richmond, NC",Richmond County
NY05101,2013,27,7,New York,"Suffolk, NY",Suffolk County Police Department
FL05214,2010,13,11,Florida,"Pinellas, FL",St. Petersburg
AR05800,2016,1,0,Arkansas,"Pope, AR",Pope County
GA04402,2013,60,22,Georgia,"De Kalb, GA",Dekalb County Police Department
NC03400,2010,2,0,North Carolina,"Forsyth, NC",Forsyth County
TX08408,2014,3,4,Texas,"Galveston, TX",League City
NC09900,2012,1,0,North Carolina,"Yadkin, NC",Yadkin County
KY10301,2014,1,0,Kentucky,"Rowan, KY",Morehead
ID02800,2019,1,2,Idaho,"Kootenai, ID",Kootenai County
NY05903,2012,10,4,New York,"Westchester, NY",Mount Vernon
MN02728,2012,1,1,Minnesota,"Hennepin, MN",Minnetrista
IL04600,2014,5,0,Illinois,"Kankakee, IL",Kankakee County
FL02500,2012,1,1,Florida,"Hardee, FL",Hardee County
WA01703,2019,0,1,Washington,"King, WA",Bothell
PA034SP,2019,1,1,Pennsylvania,"Juniata, PA",State Police: Juniata County
NC04102,2012,21,17,North Carolina,"Guilford, NC",Greensboro
IL01679,2019,2,0,Illinois,"Cook, IL",Oak Forest
NM02801,2016,2,1,New Mexico,"Socorro, NM",Socorro
MO09300,2018,1,1,Missouri,"St. Clair, MO",St. Clair County
AZ00711,2018,2,1,Arizona,"Maricopa, AZ",Gilbert
VA03100,2019,2,0,Virginia,"Floyd, VA",Floyd County
MT02700,2011,1,1,Montana,"Lincoln, MT",Lincoln County
NJ00706,2014,2,2,New Jersey,"Essex, NJ",East Orange
CA02710,2017,1,0,California,"Monterey, CA",Seaside
WA03103,2012,1,1,Washington,"Snohomish, WA",Everett
FL00634,2016,2,0,Florida,"Broward, FL",Seminole Tribal
TX22032,2016,2,2,Texas,"Tarrant, TX",Southlake
CA03712,2014,2,3,California,"San Diego, CA",San Marcos
NY02700,2016,1,1,New York,"Monroe, NY",Monroe County
OH01314,2011,3,2,Ohio,"Clermont, OH",Goshen Township
TX11607,2014,1,1,Texas,"Hunt, TX",Caddo Mills
AR06603,2015,1,0,Arkansas,"Sebastian, AR",Barling
MO09526,2011,1,1,Missouri,"St. Louis, MO",Eureka
TN01901,2016,81,54,Tennessee,"Davidson, TN",Nashville
PA02403,2010,1,1,Pennsylvania,"Elk, PA",St. Marys City
GA08601,2013,1,0,Georgia,"Lanier, GA",Lakeland
PA052SP,2013,2,1,Pennsylvania,"Pike, PA",State Police: Pike County
FL00634,2010,1,1,Florida,"Broward, FL",Seminole Tribal
CT00128,2012,1,0,Connecticut,"Hartford, CT",Simsbury
AL06103,2016,1,1,Alabama,"Talladega, AL",Childersburg
NH00616,2019,1,0,New Hampshire,"Hillsborough, NH",Goffstown
MI83083,2014,1,1,Michigan,"Wexford, MI",State Police: Wexford County
TX12301,2017,16,13,Texas,"Jefferson, TX",Beaumont
HI00200,2018,25,20,Hawaii,"Honolulu, HI",Honolulu County
TX15512,2013,4,2,Texas,"McLennan, TX",Waco
CA01917,2018,4,3,California,"Los Angeles, CA",Cudahy
WI02404,2017,1,1,Wisconsin,"Green Lake, WI",Princeton
TX09104,2019,3,1,Texas,"Grayson, TX",Sherman
MI54154,2017,2,0,Michigan,"Mecosta, MI",Mecosta
MI82693,2012,5,5,Michigan,"Wayne, MI",Redford Township
CT00126,2015,1,1,Connecticut,"Fairfield, CT",Shelton
PA04808,2018,1,1,Pennsylvania,"Northampton, PA",Northampton
CO02601,2013,1,1,Colorado,"Gunnison, CO",Gunnison
VA10300,2017,11,8,Virginia,"Chesapeake, VA",Chesapeake
NJ01303,2014,1,1,New Jersey,"Monmouth, NJ",Asbury Park
VA008SP,2013,1,1,Virginia,"Augusta, VA",State Police: Augusta County
CA01505,2017,2,1,California,"Kern, CA",Mcfarland
FL01302,2015,1,0,Florida,"Miami-Dade, FL",Coral Gables
MI33033,2016,1,1,Michigan,"Ingham, MI",State Police: Ingham County
FL00623,2015,4,1,Florida,"Broward, FL",North Lauderdale
FL05312,2018,8,5,Florida,"Polk, FL",Lakeland
TN01303,2011,1,1,Tennessee,"Claiborne, TN",Cumberland Gap
TX05101,2018,1,1,Texas,"Cottle, TX",Paducah
MT04300,2016,2,1,Montana,"Roosevelt, MT",Roosevelt County
MD01741,2016,1,0,Maryland,"Prince George's, MD",Bowie
MO02601,2010,1,1,Missouri,"Cole, MO",Jefferson City
SD00701,2015,1,1,South Dakota,"Brule, SD",Chamberlain
PA01104,2016,5,3,Pennsylvania,"Cambria, PA",Johnstown
GA06006,2012,5,3,Georgia,"Fulton, GA",Union City
CA03705,2015,2,2,California,"San Diego, CA",El Cajon
VA04301,2016,16,19,Virginia,"Henrico, VA",Henrico County Police D
WA01800,2013,1,1,Washington,"Kitsap, WA",Kitsap County
KYKSP04,2013,5,5,Kentucky,"Hardin, KY",State Police Post 4
MD01301,2015,1,1,Maryland,"Harford, MD",Aberdeen
TX05201,2015,1,1,Texas,"Crane, TX",Crane
VA00600,2015,2,2,Virginia,"Appomattox, VA",Appomattox County
OH02510,2019,3,1,Ohio,"Franklin, OH",Westerville
GA15101,2019,1,1,Georgia,"Wayne, GA",Jesup
NJ01611,2011,0,2,New Jersey,"Passaic, NJ",Ringwood
OR03411,2016,1,0,Oregon,"Washington, OR",King City
CA01912,2012,2,1,California,"Los Angeles, CA",Burbank
GA09400,2011,1,1,Georgia,"McDuffie, GA",Mcduffie County
SC04200,2019,16,10,South Carolina,"Spartanburg, SC",Spartanburg County
TX16601,2017,1,1,Texas,"Milam, TX",Cameron
DE00101,2015,6,4,Delaware,"Kent, DE",Dover
FL00507,2018,5,4,Florida,"Brevard, FL",Melbourne
CA02002,2011,1,1,California,"Madera, CA",Madera
WA00302,2013,3,3,Washington,"Benton, WA",Richland
WI05202,2010,8,6,Wisconsin,"Racine, WI",Racine
UT01803,2011,7,6,Utah,"Salt Lake, UT",Salt Lake City
OH02510,2010,0,2,Ohio,"Franklin, OH",Westerville
TN01901,2011,50,29,Tennessee,"Davidson, TN",Nashville
MI27127,2012,1,1,Michigan,"Gogebic, MI",Gogebic
LA04300,2017,1,1,Louisiana,"Sabine, LA",Sabine County
NM02400,2010,1,3,New Mexico,"San Juan, NM",San Juan County
OH01500,2015,1,0,Ohio,"Columbiana, OH",Columbiana County
VA04201,2018,1,1,Virginia,"Hanover, VA",Ashland
VA04100,2010,1,0,Virginia,"Halifax, VA",Halifax County
SC04600,2017,2,2,South Carolina,"York, SC",York County
NJ01111,2018,16,6,New Jersey,"Mercer, NJ",Trenton
ND02700,2017,1,1,North Dakota,"McKenzie, ND",Mckenzie County
VA024SP,2016,3,0,Virginia,"Culpeper, VA",State Police: Culpeper County
TN04100,2010,2,2,Tennessee,"Hickman, TN",Hickman County
GA14703,2012,2,1,Georgia,"Walton, GA",Social Circle
CT00103,2017,3,2,Connecticut,"Fairfield, CT",Norwalk
LA02600,2016,44,29,Louisiana,"Jefferson, LA",Jefferson County
VA07100,2012,1,1,Virginia,"Pittsylvania, VA",Pittsylvania County
OK04400,2016,1,0,Oklahoma,"McClain, OK",Mcclain County
PA01403,2012,1,1,Pennsylvania,"Centre, PA",State College
WI01404,2012,1,1,Wisconsin,"Dodge, WI",Juneau
CA04708,2012,1,0,California,"Siskiyou, CA",Weed
FL04106,2017,1,1,Florida,"Manatee, FL",Palmetto
CA02704,2019,1,1,California,"Monterey, CA",Greenfield
GA14801,2019,2,1,Georgia,"Ware, GA",Waycross
AL06401,2011,1,0,Alabama,"Walker, AL",Jasper
FL05026,2014,1,1,Florida,"Palm Beach, FL",Palm Beach Gardens
MN02711,2011,32,20,Minnesota,"Hennepin, MN",Minneapolis
AZ00901,2017,1,1,Arizona,"Navajo, AZ",Holbrook
MN07303,2019,1,1,Minnesota,"Stearns, MN",Paynesville
LA05902,2014,2,2,Louisiana,"Washington, LA",Franklinton
TN08700,2015,0,1,Tennessee,"Union, TN",Union County
PA00913,2018,2,2,Pennsylvania,"Bucks, PA",Northampton Township
TX15512,2012,6,4,Texas,"McLennan, TX",Waco
AZ01115,2012,5,0,Arizona,"Pinal, AZ",Gila River Indian Comnty
OR02203,2017,1,1,Oregon,"Linn, OR",Lebanon
FL06410,2013,1,1,Florida,"Volusia, FL",Orange City
CT00103,2019,1,1,Connecticut,"Fairfield, CT",Norwalk
MO09530,2015,3,1,Missouri,"St. Louis, MO",Florissant
AL05400,2013,1,1,Alabama,"Pickens, AL",Pickens County
IL03709,2017,1,0,Illinois,"Henry, IL",Kewanee
TX10813,2015,2,1,Texas,"Hidalgo, TX",San Juan
PA04615,2015,2,2,Pennsylvania,"Montgomery, PA",Lower Moreland Township
MS03800,2012,2,1,Mississippi,"Lauderdale, MS",Lauderdale County
IL01668,2013,1,0,Illinois,"Cook, IL",Melrose Park
AZ00489,2014,1,0,Arizona,"Gila, AZ",San Carlos Apache
CA00106,2013,5,7,California,"Alameda, CA",Hayward
AZ00303,2018,1,0,Arizona,"Coconino, AZ",Fredonia
PA02314,2017,3,3,Pennsylvania,"Delaware, PA",Haverford Township
WA03903,2014,1,0,Washington,"Yakima, WA",Toppenish
IL01001,2012,3,0,Illinois,"Champaign, IL",Champaign
MO02600,2019,1,1,Missouri,"Cole, MO",Cole County
TN07801,2017,1,1,Tennessee,"Sevier, TN",Gatlinburg
TX22600,2019,1,1,Texas,"Tom Green, TX",Tom Green County
IL01695,2013,1,0,Illinois,"Cook, IL",River Grove
ID04200,2014,2,0,Idaho,"Twin Falls, ID",Twin Falls County
UT02902,2013,1,3,Utah,"Weber, UT",Roy
TX00304,2014,1,0,Texas,"Angelina, TX",Lufkin
TX21903,2011,1,0,Texas,"Swisher, TX",Tulia
TX20504,2011,1,1,Texas,"San Patricio, TX",Sinton
TX02001,2012,0,1,Texas,"Brazoria, TX",Alvin
NC04700,2014,2,2,North Carolina,"Hoke, NC",Hoke County
MA00917,2010,3,1,Massachusetts,"Middlesex, MA",Everett
MS04001,2011,1,1,Mississippi,"Leake, MS",Carthage
VA10850,2018,1,1,Virginia,"Franklin, VA",Franklin
LA01003,2017,2,2,Louisiana,"Calcasieu, LA",Sulphur
ME00311,2013,1,1,Maine,"Cumberland, ME",Freeport
IL01606,2017,1,0,Illinois,"Cook, IL",Bedford Park
CA04111,2012,1,1,California,"San Mateo, CA",Pacifica
GA07602,2010,4,5,Georgia,"Houston, GA",Warner Robins
OR02200,2013,1,0,Oregon,"Linn, OR",Linn County
DE302SP,2012,7,5,Delaware,"New Castle, DE",State Police: New Castle County
NM00300,2010,0,1,New Mexico,"Chaves, NM",Chaves County
MA00817,2018,1,0,Massachusetts,"Hampshire, MA",Ware
TX01301,2019,2,2,Texas,"Bee, TX",Beeville
FL00628,2010,1,1,Florida,"Broward, FL",Coral Springs
MI54154,2019,1,1,Michigan,"Mecosta, MI",Mecosta
IL04804,2013,2,0,Illinois,"Knox, IL",Galesburg
MI41834,2016,4,6,Michigan,"Kent, MI",Wyoming
VA07506,2019,1,0,Virginia,"Prince William, VA",Dumfries
OH04324,2017,1,1,Ohio,"Lake, OH",Lake Metroparks
TX22016,2015,1,1,Texas,"Tarrant, TX",Hurst
CA03024,2017,4,1,California,"Orange, CA",Westminster
WV04900,2011,1,1,West Virginia,"Upshur, WV",Upshur County
VA10700,2011,7,5,Virginia,"Danville, VA",Danville
NJ01225,2010,1,0,New Jersey,"Middlesex, NJ",Woodbridge Township
MO08500,2018,2,0,Missouri,"Pulaski, MO",Pulaski County
NY315SB,2018,1,1,New York,"Essex, NY",State Police: Essex County (B)
FL03600,2010,17,14,Florida,"Lee, FL",Lee County
NJ00205,2016,1,1,New Jersey,"Bergen, NJ",Carlstadt
KY02501,2012,4,4,Kentucky,"Clark, KY",Winchester
PA06715,2017,3,1,Pennsylvania,"York, PA",Northern York Regional
NV00700,2018,1,1,Nevada,"Humboldt, NV",Humboldt County
CO00302,2013,1,0,Colorado,"Arapahoe, CO",Littleton
IL04101,2010,2,0,Illinois,"Jefferson, IL",Mount Vernon
PA04013,2019,3,2,Pennsylvania,"Luzerne, PA",Wilkes-Barre
KYKSP10,2011,4,2,Kentucky,"Harlan, KY",State Police Post 10
PA01105,2013,1,0,Pennsylvania,"Cambria, PA",Richland Township
FL00511,2017,1,0,Florida,"Brevard, FL",Titusville
CA00800,2014,1,0,California,"Del Norte, CA",Del Norte County
KY07100,2012,1,1,Kentucky,"Logan, KY",Logan County
GA06054,2012,1,0,Georgia,"Fulton, GA",Atlanta Public Schools
TX00703,2014,1,1,Texas,"Atascosa, TX",Poteet
IL01601,2015,1,0,Illinois,"Cook, IL",Alsip
KS07500,2014,2,1,Kansas,"Pottawatomie, KS",Pottawatomie County
CA01915,2010,25,16,California,"Los Angeles, CA",Compton
ID00902,2019,1,2,Idaho,"Bonner, ID",Sandpoint
SC01301,2014,2,2,South Carolina,"Chesterfield, SC",Cheraw
UT01806,2010,1,0,Utah,"Salt Lake, UT",West Jordan
HI00400,2015,2,1,Hawaii,"Kauai, HI",Kauai Police Department County
CT00034,2014,1,0,Connecticut,"Fairfield, CT",Danbury
NY353SC,2019,2,2,New York,"Tioga, NY",State Police: Tioga County (C)
MTDI050,2011,5,0,Montana,"Big Horn, MT",Crow Agency
CA04900,2017,6,6,California,"Sonoma, CA",Sonoma County
WV01900,2017,1,0,West Virginia,"Jefferson, WV",Jefferson County
AR05603,2018,1,1,Arkansas,"Poinsett, AR",Harrisburg
IL06000,2017,1,0,Illinois,"Madison, IL",Madison County
SC02305,2018,1,1,South Carolina,"Greenville, SC",Simpsonville
AL01202,2014,1,1,Alabama,"Chambers, AL",Lanett
CA03300,2014,17,12,California,"Riverside, CA",Riverside County
AR02200,2017,1,0,Arkansas,"Drew, AR",Drew County
TX07501,2013,1,1,Texas,"Fayette, TX",La Grange
TX24101,2017,1,1,Texas,"Wharton, TX",El Campo
MI33519,2018,8,6,Michigan,"Ingham, MI",Lansing
OH05009,2013,14,1,Ohio,"Mahoning, OH",Youngstown
GA08700,2018,1,1,Georgia,"Laurens, GA",Laurens County
CA01200,2017,4,1,California,"Humboldt, CA",Humboldt County
TX17000,2015,6,6,Texas,"Montgomery, TX",Montgomery County
TX05711,2011,5,5,Texas,"Dallas, TX",Garland
NJ01303,2018,3,4,New Jersey,"Monmouth, NJ",Asbury Park
VA00105,2015,1,1,Virginia,"Accomack, VA",Onley
NV01300,2013,4,3,Nevada,"Carson City city, NV",Carson City County
TX10115,2016,3,3,Texas,"Harris, TX",Pasadena
CA03601,2016,3,3,California,"San Bernardino, CA",Barstow
PA032SP,2019,0,1,Pennsylvania,"Indiana, PA",State Police: Indiana County
VA07100,2010,4,5,Virginia,"Pittsylvania, VA",Pittsylvania County
TX06106,2010,3,1,Texas,"Denton, TX",Lewisville
MD00804,2017,1,0,Maryland,"Cecil, MD",Elkton
MI25398,2018,32,6,Michigan,"Genesee, MI",Flint
AL00108,2013,1,0,Alabama,"Jefferson, AL",Tarrant City
MO09224,2019,2,1,Missouri,"St. Charles, MO",St. Charles County PD
AL01105,2017,1,1,Alabama,"Calhoun, AL",Oxford
NV01300,2018,1,1,Nevada,"Carson City city, NV",Carson City County
MI63751,2017,1,1,Michigan,"Oakland, MI",Southfield
GA09201,2012,3,0,Georgia,"Lowndes, GA",Valdosta
KYKSP16,2015,1,0,Kentucky,"Henderson, KY",State Police Post 16
NY347SG,2015,1,0,New York,"Schoharie, NY",State Police: Schoharie County (G)
IA04800,2017,1,1,Iowa,"Iowa, IA",Iowa County
NY01363,2010,1,0,New York,"Dutchess, NY",Poughkeepsie Town
UT02107,2011,1,1,Utah,"Sevier, UT",Salina
WA03905,2015,7,3,Washington,"Yakima, WA",Yakima
FL03200,2013,1,1,Florida,"Jackson, FL",Jackson County
PA00102,2016,1,0,Pennsylvania,"Adams, PA",Littlestown
WI03001,2012,1,2,Wisconsin,"Kenosha, WI",Kenosha
AR01804,2011,2,1,Arkansas,"Crittenden, AR",Marion
WA03102,2016,1,1,Washington,"Snohomish, WA",Edmonds
SC03002,2015,1,1,South Carolina,"Laurens, SC",Clinton
TN03000,2013,1,1,Tennessee,"Greene, TN",Greene County
MD01300,2018,8,8,Maryland,"Harford, MD",Harford County
LA05000,2016,4,2,Louisiana,"St. Martin, LA",St. Martin County
CT00064,2019,21,12,Connecticut,"Hartford, CT",Hartford
NC02902,2011,3,3,North Carolina,"Davidson, NC",Thomasville
LA01703,2010,2,1,Louisiana,"East Baton Rouge, LA",Zachary
CA03902,2018,9,5,California,"San Joaquin, CA",Lodi
TN03306,2018,1,1,Tennessee,"Hamilton, TN",Soddy-Daisy
VTVSP12,2017,1,1,Vermont,"Washington, VT",State Police: Middlesex
MS05702,2013,1,1,Mississippi,"Pike, MS",Mccomb
AR01901,2016,1,0,Arkansas,"Cross, AR",Wynne
CA05606,2019,2,2,California,"Ventura, CA",Santa Paula
AZDI059,2014,1,1,Arizona,"La Paz, AZ",Colorado River Agency
IN02001,2012,4,1,Indiana,"Elkhart, IN",Elkhart
