ORI,State,County,Agency
AK00101,Alaska,"Anchorage, AK",Anchorage
AK00102,Alaska,"Fairbanks North Star, AK",Fairbanks
AK00103,Alaska,"Juneau, AK",Juneau
AK00104,Alaska,"Ketchikan Gateway, AK",Ketchikan
AK00105,Alaska,"Kodiak Island, AK",Kodiak
AK00106,Alaska,"Nome, AK",Nome
AK00109,Alaska,"Sitka, AK",Sitka
AK00113,Alaska,"Bethel, AK",Bethel
AK00116,Alaska,"Northwest Arctic, AK",Kotzebue
AK00117,Alaska,"Matanuska-Susitna, AK",Palmer
AK00118,Alaska,"North Slope, AK",North Slope Borough
AK00122,Alaska,"Kenai Peninsula, AK",Homer
AK00123,Alaska,"Kenai Peninsula, AK",Kenai
AK00125,Alaska,"Prince of Wales-Outer Ketchikan, AK",Metlakatla Tribal
AK00130,Alaska,"Dillingham, AK",Dillingham
AK00133,Alaska,"Aleutians West, AK",Unalaska
AK00146,Alaska,"Bristol Bay, AK",Bristol Bay Borough
AK00156,Alaska,"Matanuska-Susitna, AK",Wasilla
AKASP00,Alaska,"Juneau, AK",State Troopers
AKAST01,Alaska,"Anchorage, AK",Alaska State Troopers
AL00100,Alabama,"Jefferson, AL",Jefferson County
AL00101,Alabama,"Jefferson, AL",Bessemer
AL00102,Alabama,"Jefferson, AL",Birmingham
AL00103,Alabama,"Jefferson, AL",Mountain Brook
AL00104,Alabama,"Jefferson, AL",Fairfield
AL00105,Alabama,"Jefferson, AL",Gardendale
AL00106,Alabama,"Jefferson, AL",Leeds
AL00107,Alabama,"Jefferson, AL",Midfield
AL00108,Alabama,"Jefferson, AL",Tarrant City
AL00109,Alabama,"Jefferson, AL",Vestavia Hills
AL00110,Alabama,"Jefferson, AL",Homewood
AL00111,Alabama,"Jefferson, AL",Fultondale
AL00112,Alabama,"Jefferson, AL",Hoover
AL00113,Alabama,"Jefferson, AL",Irondale
AL00114,Alabama,"Jefferson, AL",Pleasant Grove
AL00118,Alabama,"Jefferson, AL",Brighton
AL00119,Alabama,"Jefferson, AL",Hueytown
AL00120,Alabama,"Jefferson, AL",Lipscomb
AL00122,Alabama,"Jefferson, AL",Adamsville
AL00126,Alabama,"Jefferson, AL",Morris
AL00129,Alabama,"Jefferson, AL",Kimberly
AL00200,Alabama,"Mobile, AL",Mobile County
AL00201,Alabama,"Mobile, AL",Mobile
AL00202,Alabama,"Mobile, AL",Prichard
AL00203,Alabama,"Mobile, AL",Chickasaw
AL00204,Alabama,"Mobile, AL",Citronelle
AL00205,Alabama,"Mobile, AL",Saraland
AL00206,Alabama,"Mobile, AL",Bayou La Batre
AL00207,Alabama,"Mobile, AL",Satsuma
AL00208,Alabama,"Mobile, AL",Mount Vernon
AL00212,Alabama,"Mobile, AL",Creola
AL00214,Alabama,"Mobile, AL",Univ Of South Alabama
AL00300,Alabama,"Montgomery, AL",Montgomery County
AL00301,Alabama,"Montgomery, AL",Montgomery
AL00314,Alabama,"Montgomery, AL",State Fire Marshal
AL00332,Alabama,"Montgomery, AL",Alabama Dept of Corrections
AL00400,Alabama,"Autauga, AL",Autauga County
AL00401,Alabama,"Autauga, AL",Prattville
AL00500,Alabama,"Baldwin, AL",Baldwin County
AL00501,Alabama,"Baldwin, AL",Bay Minette
AL00502,Alabama,"Baldwin, AL",Fairhope
AL00503,Alabama,"Baldwin, AL",Foley
AL00504,Alabama,"Baldwin, AL",Gulf Shores
AL00505,Alabama,"Baldwin, AL",Robertsdale
AL00506,Alabama,"Baldwin, AL",Loxley
AL00508,Alabama,"Baldwin, AL",Daphne
AL00509,Alabama,"Baldwin, AL",Summerdale
AL00510,Alabama,"Baldwin, AL",Elberta
AL00512,Alabama,"Baldwin, AL",Orange Beach
AL00600,Alabama,"Barbour, AL",Barbour County
AL00601,Alabama,"Barbour, AL",Eufaula
AL00701,Alabama,"Bibb, AL",Centreville
AL00702,Alabama,"Bibb, AL",Brent
AL00704,Alabama,"Bibb, AL",Woodstock
AL00800,Alabama,"Blount, AL",Blount County
AL00802,Alabama,"Blount, AL",Blountsville
AL00901,Alabama,"Bullock, AL",Union Springs
AL01000,Alabama,"Butler, AL",Butler County
AL01001,Alabama,"Butler, AL",Greenville
AL01002,Alabama,"Butler, AL",Georgiana
AL01101,Alabama,"Calhoun, AL",Anniston
AL01102,Alabama,"Calhoun, AL",Jacksonville
AL01103,Alabama,"Calhoun, AL",Piedmont
AL01104,Alabama,"Calhoun, AL",Weaver
AL01105,Alabama,"Calhoun, AL",Oxford
AL01201,Alabama,"Chambers, AL",Lafayette
AL01202,Alabama,"Chambers, AL",Lanett
AL01204,Alabama,"Chambers, AL",Valley
AL01300,Alabama,"Cherokee, AL",Cherokee County
AL01301,Alabama,"Cherokee, AL",Centre
AL01302,Alabama,"Cherokee, AL",Cedar Bluff
AL01303,Alabama,"Cherokee, AL",Leesburg
AL01400,Alabama,"Chilton, AL",Chilton County
AL01401,Alabama,"Chilton, AL",Clanton
AL01403,Alabama,"Chilton, AL",Jemison
AL01500,Alabama,"Choctaw, AL",Choctaw County
AL01501,Alabama,"Choctaw, AL",Butler
AL01600,Alabama,"Clarke, AL",Clarke County
AL01601,Alabama,"Clarke, AL",Jackson
AL01602,Alabama,"Clarke, AL",Thomasville
AL01900,Alabama,"Coffee, AL",Coffee County
AL01901,Alabama,"Coffee, AL",Elba
AL01902,Alabama,"Coffee, AL",Enterprise
AL01903,Alabama,"Coffee, AL",New Brockton
AL02000,Alabama,"Colbert, AL",Colbert County
AL02001,Alabama,"Colbert, AL",Sheffield
AL02002,Alabama,"Colbert, AL",Tuscumbia
AL02003,Alabama,"Colbert, AL",Muscle Shoals
AL02004,Alabama,"Colbert, AL",Cherokee
AL02100,Alabama,"Conecuh, AL",Conecuh County
AL02101,Alabama,"Conecuh, AL",Evergreen
AL02200,Alabama,"Coosa, AL",Coosa County
AL02300,Alabama,"Covington, AL",Covington County
AL02301,Alabama,"Covington, AL",Andalusia
AL02302,Alabama,"Covington, AL",Opp
AL02303,Alabama,"Covington, AL",Florala
AL02400,Alabama,"Crenshaw, AL",Crenshaw County
AL02500,Alabama,"Cullman, AL",Cullman County
AL02501,Alabama,"Cullman, AL",Cullman
AL02600,Alabama,"Dale, AL",Dale County
AL02601,Alabama,"Dale, AL",Ozark
AL02602,Alabama,"Dale, AL",Daleville
AL02700,Alabama,"Dallas, AL",Dallas County
AL02701,Alabama,"Dallas, AL",Selma
AL02800,Alabama,"De Kalb, AL",De Kalb County
AL02801,Alabama,"De Kalb, AL",Fort Payne
AL02900,Alabama,"Elmore, AL",Elmore County
AL02901,Alabama,"Elmore, AL",Wetumpka
AL02902,Alabama,"Elmore, AL",Tallassee
AL02906,Alabama,"Elmore, AL",Millbrook
AL03000,Alabama,"Escambia, AL",Escambia County
AL03001,Alabama,"Escambia, AL",Atmore
AL03002,Alabama,"Escambia, AL",Brewton
AL03003,Alabama,"Escambia, AL",East Brewton
AL03004,Alabama,"Escambia, AL",Flomaton
AL03100,Alabama,"Etowah, AL",Etowah County
AL03102,Alabama,"Etowah, AL",Gadsden
AL03104,Alabama,"Etowah, AL",Glencoe
AL03105,Alabama,"Etowah, AL",Rainbow City
AL03106,Alabama,"Etowah, AL",Hokes Bluff
AL03107,Alabama,"Etowah, AL",Southside
AL03200,Alabama,"Fayette, AL",Fayette County
AL03300,Alabama,"Franklin, AL",Franklin County
AL03301,Alabama,"Franklin, AL",Russellville
AL03400,Alabama,"Geneva, AL",Geneva County
AL03401,Alabama,"Geneva, AL",Geneva
AL03402,Alabama,"Geneva, AL",Samson
AL03500,Alabama,"Greene, AL",Greene County
AL03501,Alabama,"Greene, AL",Eutaw
AL03700,Alabama,"Henry, AL",Henry County
AL03701,Alabama,"Henry, AL",Abbeville
AL03702,Alabama,"Henry, AL",Headland
AL03800,Alabama,"Houston, AL",Houston County
AL03801,Alabama,"Houston, AL",Dothan
AL03900,Alabama,"Jackson, AL",Jackson County
AL03901,Alabama,"Jackson, AL",Scottsboro
AL04100,Alabama,"Lauderdale, AL",Lauderdale County
AL04101,Alabama,"Lauderdale, AL",Florence
AL04106,Alabama,"Lauderdale, AL",Rogersville
AL04200,Alabama,"Lawrence, AL",Lawrence County
AL04300,Alabama,"Lee, AL",Lee County
AL04301,Alabama,"Lee, AL",Auburn
AL04302,Alabama,"Lee, AL",Opelika
AL04400,Alabama,"Limestone, AL",Limestone County
AL04401,Alabama,"Limestone, AL",Athens
AL04500,Alabama,"Lowndes, AL",Lowndes County
AL04502,Alabama,"Lowndes, AL",Hayneville
AL04600,Alabama,"Macon, AL",Macon County
AL04601,Alabama,"Macon, AL",Tuskegee
AL04606,Alabama,"Macon, AL",Shorter
AL04700,Alabama,"Madison, AL",Madison County
AL04701,Alabama,"Madison, AL",Huntsville
AL04702,Alabama,"Madison, AL",Madison
AL04800,Alabama,"Marengo, AL",Marengo County
AL04801,Alabama,"Marengo, AL",Demopolis
AL04900,Alabama,"Marion, AL",Marion County
AL04901,Alabama,"Marion, AL",Hamilton
AL04902,Alabama,"Marion, AL",Winfield
AL04905,Alabama,"Marion, AL",Brilliant
AL05000,Alabama,"Marshall, AL",Marshall County
AL05001,Alabama,"Marshall, AL",Albertville
AL05002,Alabama,"Marshall, AL",Guntersville
AL05003,Alabama,"Marshall, AL",Arab
AL05100,Alabama,"Monroe, AL",Monroe County
AL05101,Alabama,"Monroe, AL",Monroeville
AL05104,Alabama,"Monroe, AL",Excel
AL05201,Alabama,"Morgan, AL",Decatur
AL05209,Alabama,"Morgan, AL",Priceville
AL05302,Alabama,"Perry, AL",Uniontown
AL05400,Alabama,"Pickens, AL",Pickens County
AL05402,Alabama,"Pickens, AL",Gordo
AL05404,Alabama,"Pickens, AL",Carrollton
AL05407,Alabama,"Pickens, AL",24th Jud Cir Drug & Vctf
AL05500,Alabama,"Pike, AL",Pike County
AL05501,Alabama,"Pike, AL",Troy
AL05601,Alabama,"Randolph, AL",Roanoke
AL05700,Alabama,"Russell, AL",Russell County
AL05701,Alabama,"Russell, AL",Phenix City
AL05800,Alabama,"St. Clair, AL",St. Clair County
AL05801,Alabama,"St. Clair, AL",Pell City
AL05802,Alabama,"St. Clair, AL",Ashville
AL05803,Alabama,"St. Clair, AL",Ragland
AL05804,Alabama,"St. Clair, AL",Springville
AL05806,Alabama,"St. Clair, AL",Moody
AL05807,Alabama,"St. Clair, AL",Riverside
AL05809,Alabama,"St. Clair, AL",Steele
AL05900,Alabama,"Shelby, AL",Shelby County
AL05901,Alabama,"Shelby, AL",Calera
AL05903,Alabama,"Shelby, AL",Montevallo
AL05904,Alabama,"Shelby, AL",Alabaster
AL05906,Alabama,"Shelby, AL",Pelham
AL05907,Alabama,"Shelby, AL",Helena
AL06000,Alabama,"Sumter, AL",Sumter County
AL06001,Alabama,"Sumter, AL",York
AL06002,Alabama,"Sumter, AL",Livingston
AL06100,Alabama,"Talladega, AL",Talladega County
AL06101,Alabama,"Talladega, AL",Sylacauga
AL06102,Alabama,"Talladega, AL",Talladega
AL06103,Alabama,"Talladega, AL",Childersburg
AL06104,Alabama,"Talladega, AL",Lincoln
AL06200,Alabama,"Tallapoosa, AL",Tallapoosa County
AL06201,Alabama,"Tallapoosa, AL",Alexander City
AL06202,Alabama,"Tallapoosa, AL",Dadeville
AL06203,Alabama,"Tallapoosa, AL",Camp Hill
AL06300,Alabama,"Tuscaloosa, AL",Tuscaloosa County
AL06301,Alabama,"Tuscaloosa, AL",Tuscaloosa
AL06302,Alabama,"Tuscaloosa, AL",Northport
AL06303,Alabama,"Tuscaloosa, AL",Univ Of Al: Tuscaloosa
AL06308,Alabama,"Tuscaloosa, AL",Brookwood
AL06311,Alabama,"Tuscaloosa, AL",Lake View
AL06314,Alabama,"Tuscaloosa, AL",Coaling
AL06400,Alabama,"Walker, AL",Walker County
AL06401,Alabama,"Walker, AL",Jasper
AL06404,Alabama,"Walker, AL",Dora
AL06405,Alabama,"Walker, AL",Sumiton
AL06406,Alabama,"Walker, AL",Parrish
AL06500,Alabama,"Washington, AL",Washington County
AL06503,Alabama,"Washington, AL",Chatom
AL06600,Alabama,"Wilcox, AL",Wilcox County
AL06601,Alabama,"Wilcox, AL",Camden
AL06602,Alabama,"Wilcox, AL",Pine Hill
AL06700,Alabama,"Winston, AL",Winston County
AR00100,Arkansas,"Arkansas, AR",Arkansas County
AR00101,Arkansas,"Arkansas, AR",De Witt
AR00102,Arkansas,"Arkansas, AR",Stuttgart
AR00200,Arkansas,"Ashley, AR",Ashley County
AR00201,Arkansas,"Ashley, AR",Crossett
AR00202,Arkansas,"Ashley, AR",Hamburg
AR00300,Arkansas,"Baxter, AR",Baxter County
AR00301,Arkansas,"Baxter, AR",Mountain Home
AR00303,Arkansas,"Baxter, AR",Gassville
AR00304,Arkansas,"Baxter, AR",Lakeview
AR00400,Arkansas,"Benton, AR",Benton County
AR00401,Arkansas,"Benton, AR",Bentonville
AR00402,Arkansas,"Benton, AR",Rogers
AR00403,Arkansas,"Benton, AR",Siloam Springs
AR00412,Arkansas,"Benton, AR",Bethel Heights
AR00413,Arkansas,"Benton, AR",Centerton
AR00416,Arkansas,"Benton, AR",Little Flock
AR00421,Arkansas,"Benton, AR",Bella Vista
AR00500,Arkansas,"Boone, AR",Boone County
AR00501,Arkansas,"Boone, AR",Harrison
AR00600,Arkansas,"Bradley, AR",Bradley County
AR00601,Arkansas,"Bradley, AR",Warren
AR00700,Arkansas,"Calhoun, AR",Calhoun County
AR00701,Arkansas,"Calhoun, AR",Hampton
AR00800,Arkansas,"Carroll, AR",Carroll County
AR00801,Arkansas,"Carroll, AR",Berryville
AR00802,Arkansas,"Carroll, AR",Eureka Springs
AR00902,Arkansas,"Chicot, AR",Eudora
AR00903,Arkansas,"Chicot, AR",Lake Village
AR01001,Arkansas,"Clark, AR",Arkadelphia
AR01002,Arkansas,"Clark, AR",Gurdon
AR01003,Arkansas,"Clark, AR",Caddo Valley
AR01101,Arkansas,"Clay, AR",Corning
AR01200,Arkansas,"Cleburne, AR",Cleburne County
AR01201,Arkansas,"Cleburne, AR",Heber Springs
AR01300,Arkansas,"Cleveland, AR",Cleveland County
AR01400,Arkansas,"Columbia, AR",Columbia County
AR01401,Arkansas,"Columbia, AR",Magnolia
AR01500,Arkansas,"Conway, AR",Conway County
AR01501,Arkansas,"Conway, AR",Morrilton
AR01600,Arkansas,"Craighead, AR",Craighead County
AR01601,Arkansas,"Craighead, AR",Jonesboro
AR01603,Arkansas,"Craighead, AR",Lake City
AR01605,Arkansas,"Craighead, AR",Arkansas State University
AR01700,Arkansas,"Crawford, AR",Crawford County
AR01701,Arkansas,"Crawford, AR",Van Buren
AR01800,Arkansas,"Crittenden, AR",Crittenden County
AR01801,Arkansas,"Crittenden, AR",West Memphis
AR01802,Arkansas,"Crittenden, AR",Earle
AR01804,Arkansas,"Crittenden, AR",Marion
AR01900,Arkansas,"Cross, AR",Cross County
AR01901,Arkansas,"Cross, AR",Wynne
AR02001,Arkansas,"Dallas, AR",Fordyce
AR02101,Arkansas,"Desha, AR",Mcgehee
AR02103,Arkansas,"Desha, AR",Dumas
AR02200,Arkansas,"Drew, AR",Drew County
AR02201,Arkansas,"Drew, AR",Monticello
AR02300,Arkansas,"Faulkner, AR",Faulkner County
AR02301,Arkansas,"Faulkner, AR",Conway
AR02400,Arkansas,"Franklin, AR",Franklin County
AR02402,Arkansas,"Franklin, AR",Charleston
AR02500,Arkansas,"Fulton, AR",Fulton County
AR02501,Arkansas,"Fulton, AR",Salem
AR02600,Arkansas,"Garland, AR",Garland County
AR02601,Arkansas,"Garland, AR",Hot Springs
AR02700,Arkansas,"Grant, AR",Grant County
AR02701,Arkansas,"Grant, AR",Sheridan
AR02800,Arkansas,"Greene, AR",Greene County
AR02801,Arkansas,"Greene, AR",Paragould
AR02802,Arkansas,"Greene, AR",Marmaduke
AR02900,Arkansas,"Hempstead, AR",Hempstead County
AR02901,Arkansas,"Hempstead, AR",Hope
AR03000,Arkansas,"Hot Spring, AR",Hot Spring County
AR03001,Arkansas,"Hot Spring, AR",Malvern
AR03101,Arkansas,"Howard, AR",Nashville
AR03200,Arkansas,"Independence, AR",Independence County
AR03201,Arkansas,"Independence, AR",Batesville
AR03300,Arkansas,"Izard, AR",Izard County
AR03400,Arkansas,"Jackson, AR",Jackson County
AR03401,Arkansas,"Jackson, AR",Newport
AR03402,Arkansas,"Jackson, AR",Tuckerman
AR03500,Arkansas,"Jefferson, AR",Jefferson County
AR03501,Arkansas,"Jefferson, AR",Pine Bluff
AR03502,Arkansas,"Jefferson, AR",White Hall
AR03600,Arkansas,"Johnson, AR",Johnson County
AR03702,Arkansas,"Lafayette, AR",Stamps
AR03800,Arkansas,"Lawrence, AR",Lawrence County
AR03900,Arkansas,"Lee, AR",Lee County
AR03901,Arkansas,"Lee, AR",Marianna
AR04000,Arkansas,"Lincoln, AR",Lincoln County
AR04002,Arkansas,"Lincoln, AR",Star City
AR04101,Arkansas,"Little River, AR",Ashdown
AR04200,Arkansas,"Logan, AR",Logan County
AR04201,Arkansas,"Logan, AR",Booneville
AR04202,Arkansas,"Logan, AR",Paris
AR04300,Arkansas,"Lonoke, AR",Lonoke County
AR04301,Arkansas,"Lonoke, AR",England
AR04302,Arkansas,"Lonoke, AR",Cabot
AR04304,Arkansas,"Lonoke, AR",Lonoke
AR04306,Arkansas,"Lonoke, AR",Ward
AR04400,Arkansas,"Madison, AR",Madison County
AR04500,Arkansas,"Marion, AR",Marion County
AR04503,Arkansas,"Marion, AR",Flippin
AR04600,Arkansas,"Miller, AR",Miller County
AR04601,Arkansas,"Miller, AR",Texarkana
AR04700,Arkansas,"Mississippi, AR",Mississippi County
AR04701,Arkansas,"Mississippi, AR",Blytheville
AR04702,Arkansas,"Mississippi, AR",Osceola
AR04706,Arkansas,"Mississippi, AR",Wilson
AR04800,Arkansas,"Monroe, AR",Monroe County
AR04801,Arkansas,"Monroe, AR",Brinkley
AR04802,Arkansas,"Monroe, AR",Clarendon
AR04900,Arkansas,"Montgomery, AR",Montgomery County
AR05000,Arkansas,"Nevada, AR",Nevada County
AR05001,Arkansas,"Nevada, AR",Prescott
AR05100,Arkansas,"Newton, AR",Newton County
AR05200,Arkansas,"Ouachita, AR",Ouachita County
AR05201,Arkansas,"Ouachita, AR",Camden
AR05301,Arkansas,"Perry, AR",Perryville
AR05401,Arkansas,"Phillips, AR",Helena
AR05500,Arkansas,"Pike, AR",Pike County
AR05502,Arkansas,"Pike, AR",Glenwood
AR05601,Arkansas,"Poinsett, AR",Marked Tree
AR05602,Arkansas,"Poinsett, AR",Trumann
AR05603,Arkansas,"Poinsett, AR",Harrisburg
AR05700,Arkansas,"Polk, AR",Polk County
AR05701,Arkansas,"Polk, AR",Mena
AR05800,Arkansas,"Pope, AR",Pope County
AR05801,Arkansas,"Pope, AR",Russellville
AR05802,Arkansas,"Pope, AR",Atkins
AR05807,Arkansas,"Pope, AR",Dover
AR05902,Arkansas,"Prairie, AR",Des Arc
AR06000,Arkansas,"Pulaski, AR",Pulaski County
AR06001,Arkansas,"Pulaski, AR",Jacksonville
AR06002,Arkansas,"Pulaski, AR",Little Rock
AR06003,Arkansas,"Pulaski, AR",North Little Rock
AR06004,Arkansas,"Pulaski, AR",Sherwood
AR06007,Arkansas,"Pulaski, AR",Alexander
AR06016,Arkansas,"Pulaski, AR",Maumelle
AR06100,Arkansas,"Randolph, AR",Randolph County
AR06200,Arkansas,"St. Francis, AR",St. Francis County
AR06201,Arkansas,"St. Francis, AR",Forrest City
AR06300,Arkansas,"Saline, AR",Saline County
AR06301,Arkansas,"Saline, AR",Benton
AR06302,Arkansas,"Saline, AR",Bryant
AR06400,Arkansas,"Scott, AR",Scott County
AR06401,Arkansas,"Scott, AR",Waldron
AR06500,Arkansas,"Searcy, AR",Searcy County
AR06600,Arkansas,"Sebastian, AR",Sebastian County
AR06601,Arkansas,"Sebastian, AR",Fort Smith
AR06603,Arkansas,"Sebastian, AR",Barling
AR06607,Arkansas,"Sebastian, AR",Mansfield
AR06700,Arkansas,"Sevier, AR",Sevier County
AR06701,Arkansas,"Sevier, AR",De Queen
AR06803,Arkansas,"Sharp, AR",Ash Flat
AR07000,Arkansas,"Union, AR",Union County
AR07001,Arkansas,"Union, AR",El Dorado
AR07100,Arkansas,"Van Buren, AR",Van Buren County
AR07101,Arkansas,"Van Buren, AR",Fairfield Bay
AR07200,Arkansas,"Washington, AR",Washington County
AR07201,Arkansas,"Washington, AR",Fayetteville
AR07202,Arkansas,"Washington, AR",Springdale
AR07203,Arkansas,"Washington, AR",Prairie Grove
AR07204,Arkansas,"Washington, AR",University of Arkansas: Fayetteville
AR07205,Arkansas,"Washington, AR",Farmington
AR07207,Arkansas,"Washington, AR",Greenland
AR07208,Arkansas,"Washington, AR",West Fork
AR07300,Arkansas,"White, AR",White County
AR07301,Arkansas,"White, AR",Searcy
AR07302,Arkansas,"White, AR",Bald Knob
AR07304,Arkansas,"White, AR",Kensett
AR07500,Arkansas,"Yell, AR",Yell County
AR07501,Arkansas,"Yell, AR",Dardanelle
AR07502,Arkansas,"Yell, AR",Danville
AZ00100,Arizona,"Apache, AZ",Apache County
AZ00101,Arizona,"Apache, AZ",Eagar
AZ00103,Arizona,"Apache, AZ",St. Johns
AZ00105,Arizona,"Apache, AZ",Springerville
AZ00189,Arizona,"Apache, AZ",Navajo Nation
AZ00200,Arizona,"Cochise, AZ",Cochise County
AZ00203,Arizona,"Cochise, AZ",Bisbee
AZ00205,Arizona,"Cochise, AZ",Douglas
AZ00207,Arizona,"Cochise, AZ",Huachuca City
AZ00209,Arizona,"Cochise, AZ",Sierra Vista
AZ00300,Arizona,"Coconino, AZ",Coconino County
AZ00301,Arizona,"Coconino, AZ",Flagstaff
AZ00303,Arizona,"Coconino, AZ",Fredonia
AZ00307,Arizona,"Coconino, AZ",Williams
AZ00308,Arizona,"Coconino, AZ",Page
AZ00397,Arizona,"Coconino, AZ",Northern Arizona Univ
AZ00400,Arizona,"Gila, AZ",Gila County
AZ00401,Arizona,"Gila, AZ",Globe
AZ00406,Arizona,"Gila, AZ",Payson
AZ00489,Arizona,"Gila, AZ",San Carlos Apache
AZ00500,Arizona,"Graham, AZ",Graham County
AZ00600,Arizona,"Greenlee, AZ",Greenlee County
AZ00700,Arizona,"Maricopa, AZ",Maricopa County
AZ00701,Arizona,"Maricopa, AZ",Avondale
AZ00703,Arizona,"Maricopa, AZ",Buckeye
AZ00705,Arizona,"Maricopa, AZ",Chandler
AZ00707,Arizona,"Maricopa, AZ",El Mirage
AZ00711,Arizona,"Maricopa, AZ",Gilbert
AZ00713,Arizona,"Maricopa, AZ",Glendale
AZ00715,Arizona,"Maricopa, AZ",Goodyear
AZ00717,Arizona,"Maricopa, AZ",Mesa
AZ00719,Arizona,"Maricopa, AZ",Paradise Valley
AZ00721,Arizona,"Maricopa, AZ",Peoria
AZ00723,Arizona,"Maricopa, AZ",Phoenix
AZ00725,Arizona,"Maricopa, AZ",Scottsdale
AZ00727,Arizona,"Maricopa, AZ",Surprise
AZ00729,Arizona,"Maricopa, AZ",Tempe
AZ00731,Arizona,"Maricopa, AZ",Tolleson
AZ00733,Arizona,"Maricopa, AZ",Wickenburg
AZ00789,Arizona,"Maricopa, AZ",Salt River Tribal
AZ00797,Arizona,"Maricopa, AZ",Arizona State University: Main Camp
AZ00800,Arizona,"Mohave, AZ",Mohave County
AZ00801,Arizona,"Mohave, AZ",Kingman
AZ00803,Arizona,"Mohave, AZ",Fort Mojave Tribal
AZ00804,Arizona,"Mohave, AZ",Lake Havasu City
AZ00805,Arizona,"Mohave, AZ",Bullhead City
AZ00900,Arizona,"Navajo, AZ",Navajo County
AZ00901,Arizona,"Navajo, AZ",Holbrook
AZ00903,Arizona,"Navajo, AZ",Show Low
AZ00905,Arizona,"Navajo, AZ",Snowflake-Taylor
AZ00909,Arizona,"Navajo, AZ",Winslow
AZ00913,Arizona,"Navajo, AZ",Pinetop-Lakeside
AZ00989,Arizona,"Navajo, AZ",White Mountain Apache Tr
AZ01000,Arizona,"Pima, AZ",Pima County
AZ01001,Arizona,"Pima, AZ",South Tucson
AZ01003,Arizona,"Pima, AZ",Tucson
AZ01004,Arizona,"Pima, AZ",Sahuarita
AZ01007,Arizona,"Pima, AZ",Oro Valley
AZ01009,Arizona,"Pima, AZ",Marana
AZ01010,Arizona,"Pima, AZ",Unknown
AZ01012,Arizona,"Pima, AZ",Tohono O'odham Nation
AZ01097,Arizona,"Pima, AZ",University of Arizona
AZ01100,Arizona,"Pinal, AZ",Pinal County
AZ01101,Arizona,"Pinal, AZ",Casa Grande
AZ01103,Arizona,"Pinal, AZ",Coolidge
AZ01105,Arizona,"Pinal, AZ",Eloy
AZ01107,Arizona,"Pinal, AZ",Florence
AZ01113,Arizona,"Pinal, AZ",Apache Junction
AZ01115,Arizona,"Pinal, AZ",Gila River Indian Comnty
AZ01117,Arizona,"Pinal, AZ",Maricopa
AZ01200,Arizona,"Santa Cruz, AZ",Santa Cruz County
AZ01201,Arizona,"Santa Cruz, AZ",Nogales
AZ01300,Arizona,"Yavapai, AZ",Yavapai County
AZ01303,Arizona,"Yavapai, AZ",Cottonwood
AZ01307,Arizona,"Yavapai, AZ",Prescott
AZ01311,Arizona,"Yavapai, AZ",Prescott Valley
AZ01312,Arizona,"Yavapai, AZ",Chino Valley
AZ01313,Arizona,"Yavapai, AZ",Camp Verde
AZ01400,Arizona,"Yuma, AZ",Yuma County
AZ01403,Arizona,"Yuma, AZ",Somerton
AZ01405,Arizona,"Yuma, AZ",Yuma
AZ01408,Arizona,"Yuma, AZ",San Luis
AZ01409,Arizona,"Yuma, AZ",Wellton
AZ01500,Arizona,"La Paz, AZ",La Paz County
AZ01501,Arizona,"La Paz, AZ",Parker
AZ01502,Arizona,"La Paz, AZ",Colorado River Tribal
AZ01503,Arizona,"La Paz, AZ",Quartzsite
AZCCHPX,Arizona,"Maricopa, AZ",Az Dept Of Public Safety
AZDI052,Arizona,"Bibb, AL",San Carlos Agency
AZDI053,Arizona,"Graham, AZ",Hopi Tribal
AZDI059,Arizona,"La Paz, AZ",Colorado River Agency
AZDI060,Arizona,"Mohave, AZ",Truxton Canon Agency
AZDI062,Arizona,"Apache, AZ",Fort Apache Agency
AZDI066,Arizona,"Pima, AZ",Pascua Yaqui Tribal
AZDI067,Arizona,"Mohave, AZ",Hualapai Tribal
AZDI069,Arizona,"Yavapai, AZ",Yavapai-Apache Nation
CA00100,California,"Alameda, CA",Alameda County
CA00101,California,"Alameda, CA",Alameda
CA00102,California,"Alameda, CA",Albany
CA00103,California,"Alameda, CA",Berkeley
CA00104,California,"Alameda, CA",Emeryville
CA00105,California,"Alameda, CA",Fremont
CA00106,California,"Alameda, CA",Hayward
CA00107,California,"Alameda, CA",Livermore
CA00108,California,"Alameda, CA",Newark
CA00109,California,"Alameda, CA",Oakland
CA00111,California,"Alameda, CA",Pleasanton
CA00112,California,"Alameda, CA",San Leandro
CA00113,California,"Alameda, CA",Union City
CA00114,California,"Alameda, CA",East Bay Regional Parks: Alameda County
CA00121,California,"San Francisco, CA",San Francisco Bart: Alameda County
CA00197,California,"Alameda, CA",University of California: Berkeley
CA00300,California,"Amador, CA",Amador County
CA00305,California,"Amador, CA",Sutter Creek
CA00400,California,"Butte, CA",Butte County
CA00402,California,"Butte, CA",Chico
CA00403,California,"Butte, CA",Gridley
CA00404,California,"Butte, CA",Oroville
CA00405,California,"Butte, CA",Paradise
CA00497,California,"Butte, CA",Ca St Un: Chico
CA00500,California,"Calaveras, CA",Calaveras County
CA00600,California,"Colusa, CA",Colusa County
CA00601,California,"Colusa, CA",Colusa
CA00700,California,"Contra Costa, CA",Contra Costa County
CA00701,California,"Contra Costa, CA",Antioch
